CF_Code,Code_Srok,Code_Khum,No_Village,CF_Name_En,CF_Name_Kh,Villag_CDB,CF_Name_Note,Commune,Khum,Commun_CDB,Commu_Note,District,Srok,Distri_CDB,Distr_Note,Province,Division,Date_Praka,No_Prakas,Date_Agree,Remarks,Code_CF,HECTARES,Yea_Agreem,Agreement,NCF_statis,Year_CFMP,FA_Can,UniqueID,Why_Remove,Overlap_Pa,geometry,Comm_Miss,Dist_Miss,Comm_Match_CDB,Dist_Match_CDB,Comm_Uniq_CF,Comm_Uniq_CDB,Dist_Uniq_CF,CF_Match,CommORDist,CoORDiOR2,Commune_matched,District_matched,District_cln,Commune_cln,Village,VillGis,CommGis,Code_Comm_DB23,Commun_DB23,Commun_DB23_Note
10301,103,10302,3,Kon Khleaeng,kUnExøg,,,Poy Char,e)a:ycar,,matches with CDB,Phnom Srok,PMñRsuk,,NA because commune name uniquely identifies the commune in both this dataset and CDB,Banteay Meanchey,Thmar Puok,2008-11-19,488,25/11/2009,,109,2373.28845,2009,CFA,NCF,0,,6,,0,"POLYGON ((319566.9999999966 1542071.0000000081, 319537.9999999965 1541236.000000009, 319009.9999999956 1541267.0000000086, 317385.9999999966 1540823.000000008, 316257.9999999959 1540554.0000000086, 315236.999999997 1540258.0000000088, 314552.9999999971 1540057.0000000075, 313206.99999999604 1539816.0000000075, 312015.9999999953 1539507.0000000077, 312020.9999999951 1540238.0000000075, 312025.9999999971 1540867.0000000075, 312030.99999999686 1541725.0000000081, 312032.9999999964 1542334.0000000088, 312424.99999999534 1542557.0000000088, 313175.99999999645 1542933.0000000077, 314368.99999999674 1543627.0000000093, 314936.99999999604 1543918.0000000093, 315417.9999999971 1544146.0000000093, 316283.9999999957 1544144.0000000077, 317145.99999999534 1544139.000000008, 317787.99999999517 1544138.0000000093, 318186.99999999563 1543866.0000000075, 318893.999999995 1543464.0000000068, 319045.999999995 1543379.0000000058, 319307.9999999971 1542632.0000000081, 319566.9999999966 1542071.0000000081))",0,0,1,0,1,1,1,False,False,False,Poy Char,,na,poy char,"Paoy Snuol
Paoy Char
Trapeang Thma Tboung
Trapeang Thma Cheung
Trapeang Thma Kandal
Paoy Ta Ong
Sambuor
Pongro
Koun Klaeng
Chok Sras Andoung","1030201
1030202
1030203
1030204
1030205
1030206
1030207
1030208
1030209
1030212",10302,10302,Poy Char,matched based on CommGis
10405,104,10402,2,Phnom Chuncheang,PMñCBa¢aMg,,,Chub Veary,Cb;varI,Chob Veari,updated to match with CDB,Preah Netrpreah,RBHenRtRBH,Preah Netr Preah,updated to match with CDB,Banteay Meanchey,Preah Netrpreah,2008-11-19,488,25/11/2009,,104,27.89145,2009,CFA,NCF,0,,2,,0,"POLYGON ((300993.9999999958 1505702.0000000095, 300978.9999999964 1505701.0000000086, 300973.9999999966 1505706.0000000084, 300957.9999999964 1505715.0000000093, 300951.99999999575 1505719.0000000084, 300932.9999999952 1505747.0000000077, 300922.9999999956 1505774.0000000084, 300926.99999999674 1505815.0000000075, 300942.999999997 1505871.0000000084, 300949.9999999963 1505897.0000000081, 300968.99999999686 1505941.0000000077, 300989.99999999686 1505984.0000000086, 301002.99999999674 1506021.0000000088, 301012.99999999633 1506047.0000000086, 301026.9999999971 1506080.0000000077, 301051.99999999604 1506131.0000000088, 301068.99999999715 1506171.0000000093, 301081.9999999971 1506212.0000000063, 301099.99999999674 1506241.0000000086, 301111.9999999958 1506280.0000000084, 301124.9999999957 1506317.0000000086, 301131.999999995 1506348.0000000084, 301143.9999999963 1506352.0000000093, 301162.99999999686 1506393.0000000086, 301176.99999999534 1506425.000000009, 301187.9999999958 1506445.0000000084, 301192.9999999956 1506445.0000000084, 301195.9999999959 1506449.0000000093, 301205.9999999955 1506474.0000000084, 301222.9999999966 1506513.0000000081, 301231.99999999534 1506533.0000000095, 301248.9999999964 1506568.0000000081, 301265.9999999952 1506608.0000000086, 301292.9999999959 1506674.000000009, 301293.99999999674 1506729.000000009, 301292.9999999959 1506760.0000000086, 301317.9999999971 1506762.0000000081, 301329.99999999616 1506786.0000000084, 301343.999999997 1506810.0000000088, 301358.99999999633 1506835.0000000077, 301367.9999999951 1506869.0000000077, 301369.99999999674 1506894.0000000088, 301386.99999999563 1506893.0000000058, 301485.9999999951 1506856.000000008, 301630.9999999958 1506802.0000000086, 301612.9999999961 1506723.0000000084, 301580.99999999563 1506594.000000008, 301575.9999999958 1506574.0000000088, 301568.99999999657 1506561.0000000088, 301501.99999999534 1506473.0000000075, 301388.9999999951 1506340.0000000081, 301322.9999999969 1506258.0000000075, 301279.99999999604 1506193.000000008, 301264.9999999966 1506169.0000000077, 301249.999999995 1506155.000000009, 301221.99999999575 1506138.000000008, 301207.999999995 1506120.0000000084, 301199.9999999971 1506049.0000000081, 301194.9999999951 1506010.0000000084, 301154.99999999674 1505871.0000000084, 301139.9999999951 1505803.0000000084, 301120.9999999968 1505757.0000000072, 301097.99999999505 1505745.0000000081, 301055.999999995 1505723.0000000095, 301032.9999999955 1505712.000000009, 301020.99999999645 1505704.0000000088, 300993.9999999958 1505702.0000000095))",0,0,0,0,1,1,0,False,False,False,Chob Veari,Preah Netr Preah,preah netr preah,chob veari,"Chob
Roul Chruk
Prasat
Krasang Thmei
Pradak
Chroab Thmei
Chroab Chas
Kak
Kouk Lun
Phnum Chonhcheang
Chakkrei","1040201
1040202
1040203
1040204
1040205
1040206
1040207
1040208
1040209
1040210
1040211",10402,10402,Chob Vari,matched based on CommGis
10403,104,10402,1,Trapeang Russei Lech,RtBaMgb¤sISlic,,,Chub Veary,Cb;varI,Chob Veari,updated to match with CDB,Preah Netrpreah,RBHenRtRBH,Preah Netr Preah,updated to match with CDB,Banteay Meanchey,Preah Netrpreah,2008-11-19,488,25/11/2009,,102,69.65905,2009,CFA,NCF,0,,3,,0,"POLYGON ((300751.9999999951 1513339.0000000081, 300845.999999997 1513333.0000000054, 300943.99999999563 1513333.0000000054, 300992.99999999715 1513329.0000000086, 301090.9999999958 1513343.0000000093, 301106.99999999604 1513345.0000000088, 301114.99999999616 1513344.000000008, 301205.9999999955 1513329.0000000086, 301256.9999999965 1513315.000000008, 301270.99999999505 1513305.0000000084, 301343.999999997 1513258.0000000084, 301387.9999999965 1513216.0000000084, 301454.99999999546 1513185.0000000088, 301460.99999999616 1513155.000000008, 301469.9999999971 1513117.0000000088, 301474.99999999686 1513095.000000008, 301493.9999999952 1513074.000000008, 301507.999999996 1513061.0000000081, 301512.9999999958 1513033.0000000088, 301518.9999999964 1513003.000000008, 301513.9999999966 1512982.000000008, 301511.99999999715 1512966.0000000075, 301480.99999999534 1512975.0000000063, 301476.9999999964 1512953.0000000077, 301371.9999999963 1512967.0000000084, 301357.99999999546 1512882.0000000075, 301385.999999997 1512877.0000000077, 301429.9999999965 1512868.0000000088, 301482.999999997 1512857.0000000084, 301516.999999997 1512850.0000000093, 301562.9999999959 1512653.0000000088, 301499.99999999587 1512633.0000000075, 301272.99999999674 1512561.0000000086, 301012.99999999633 1512477.0000000086, 300809.99999999534 1512411.0000000081, 300749.9999999956 1512391.0000000068, 300745.9999999966 1512409.0000000086, 300719.99999999686 1512521.0000000081, 300700.9999999963 1512598.0000000088, 300682.9999999966 1512674.0000000088, 300661.99999999657 1512757.0000000081, 300649.9999999953 1512813.0000000088, 300626.9999999958 1512904.0000000084, 300596.999999997 1513003.000000008, 300576.9999999956 1513109.0000000088, 300547.99999999546 1513213.0000000081, 300517.99999999674 1513324.0000000088, 300523.9999999951 1513332.0000000088, 300610.9999999956 1513355.0000000084, 300679.9999999963 1513352.0000000081, 300720.99999999546 1513351.0000000095, 300751.9999999951 1513339.0000000081))",0,0,0,0,1,1,0,False,False,False,Chob Veari,Preah Netr Preah,preah netr preah,chob veari,"Chob
Roul Chruk
Prasat
Krasang Thmei
Pradak
Chroab Thmei
Chroab Chas
Kak
Kouk Lun
Phnum Chonhcheang
Chakkrei","1040201
1040202
1040203
1040204
1040205
1040206
1040207
1040208
1040209
1040210
1040211",10402,10402,Chob Vari,matched based on CommGis
10402,104,10402,1,Kiri Kamnobtrorb Sinjkeut Chrorbthmei,KIrIkMNb;RTBüsIujkWtRCab;fµI,,,Chub Veary,Cb;varI,Chob Veari,updated to match with CDB,Preah Netrpreah,RBHenRtRBH,Preah Netr Preah,updated to match with CDB,Banteay Meanchey,Preah Netrpreah,2008-11-19,488,25/11/2009,,101,143.2359489,2009,CFA,NCF,0,,11,,0,"POLYGON ((303842 1512876, 303894 1512853, 303987 1512857, 304030 1512863, 304045 1512856, 304102 1512846, 304139 1512856, 304160 1512858, 304185 1512850, 304207 1512837, 304248 1512802, 304258 1512780, 304298 1512734, 304307 1512724, 304316 1512701, 304335 1512674, 304366 1512659, 304391 1512628, 304424 1512617, 304472 1512610, 304491 1512602, 304591 1512606, 304632 1512461, 304643 1512420, 304664 1512362, 304684 1512281, 304699 1512228, 304673 1512216, 304668 1512165, 304644 1512134, 304643 1512109, 304640 1512072, 304653 1512019, 304635 1511921, 304630 1511894, 304647 1511802, 304655 1511764, 304696 1511756, 304782 1511741, 304796 1511738, 304751 1511646, 304716 1511555, 304675 1511451, 304639 1511364, 304587 1511247, 304572 1511203, 304562 1511184, 304491 1511252, 304481 1511256, 304417 1511283, 304379 1511284, 304294 1511278, 304170 1511273, 304069 1511272, 303943 1511263, 303914 1511258, 303914 1511261, 303904 1511307, 303905 1511325, 303901 1511350, 303901 1511389, 303902 1511509, 303872 1511508, 303823 1511509, 303770 1511509, 303602 1511522, 303537 1511522, 303535 1511528, 303549 1511627, 303559 1511692, 303569 1511752, 303586 1511835, 303599 1511896, 303626.58330000006 1512031.9000000004, 303648.7348999996 1512141.0419999994, 303733.68290000036 1512559.5779, 303734.3448999999 1512562.8238999993, 303734.41110000014 1512563.1656999998, 303735.1615000004 1512567.0429999996, 303735.1941999998 1512567.0241999999, 303822.01240000036 1512517.1117000002, 303859 1512714, 303777 1512773, 303784 1512791, 303784 1512805, 303789 1512831, 303789 1512874, 303797 1512894, 303805 1512896, 303819 1512892, 303842 1512876))",0,0,0,0,1,1,0,False,False,False,Chob Veari,Preah Netr Preah,preah netr preah,chob veari,"Chob
Roul Chruk
Prasat
Krasang Thmei
Pradak
Chroab Thmei
Chroab Chas
Kak
Kouk Lun
Phnum Chonhcheang
Chakkrei","1040201
1040202
1040203
1040204
1040205
1040206
1040207
1040208
1040209
1040210
1040211",10402,10402,Chob Vari,matched based on CommGis
10404,104,10402,1,Trapeang Russei Kaeut,RtBaMgb¤sISekIt,,,Chub Veary,Cb;varI,Chob Veari,updated to match with CDB,Preah Netrpreah,RBHenRtRBH,Preah Netr Preah,updated to match with CDB,Banteay Meanchey,Preah Netrpreah,2008-11-19,488,25/11/2009,,103,92.99521903,2009,CFA,NCF,0,,12,,0,"POLYGON ((302725 1512743, 303066 1512738, 303327 1512740, 303472 1512733, 303647 1512730, 303633 1512671, 303638 1512616, 303716.7274000002 1512577.0994000006, 303723.0427000001 1512574.0101999994, 303735.1615000004 1512567.0429999996, 303734.41110000014 1512563.1656999998, 303734.3448999999 1512562.8238999993, 303733.68290000036 1512559.5779, 303648.7348999996 1512141.0419999994, 303626.58330000006 1512031.9000000004, 303599 1511896, 303047 1511860, 302984 1511849, 302902 1511836, 302855 1511833, 302823 1511653, 302811 1511588, 302806 1511551, 302666 1511555, 302627 1511556, 302623 1511604, 302640 1511826, 302653 1511979, 302659 1512210, 302666 1512389, 302674 1512507, 302678 1512587, 302682 1512644, 302682 1512687, 302687 1512744, 302725 1512743))",0,0,0,0,1,1,0,False,False,False,Chob Veari,Preah Netr Preah,preah netr preah,chob veari,"Chob
Roul Chruk
Prasat
Krasang Thmei
Pradak
Chroab Thmei
Chroab Chas
Kak
Kouk Lun
Phnum Chonhcheang
Chakkrei","1040201
1040202
1040203
1040204
1040205
1040206
1040207
1040208
1040209
1040210
1040211",10402,10402,Chob Vari,matched based on CommGis
10406,104,10405,1,Poy Tapen,e):aytaEb:n,,,Preah Netrpreah,RBHenRtRBH,Preah Netr Preah,updated to match with CDB,Preah Netrpreah,RBHenRtRBH,Preah Netr Preah,updated to match with CDB,Banteay Meanchey,Preah Netrpreah,2008-11-19,488,25/11/2009,,105,110.316,2009,CFA,NCF,0,,1,,0,"POLYGON ((301314.9999999968 1504286.000000009, 301254.9999999971 1504267.0000000063, 301229.99999999587 1504267.0000000063, 301217.9999999968 1504267.0000000063, 301192.9999999956 1504259.0000000084, 301171.9999999956 1504253.0000000077, 301124.9999999957 1504260.0000000093, 301052.9999999969 1504270.0000000088, 300959.99999999587 1504259.0000000084, 300919.9999999953 1504254.0000000086, 300811.9999999971 1504322.0000000084, 300715.9999999957 1504359.0000000088, 300675.9999999951 1504408.0000000058, 300564.9999999965 1504494.0000000077, 300546.99999999686 1504513.0000000081, 300497.99999999534 1504567.0000000095, 300412.99999999657 1504649.000000008, 300300.9999999972 1504741.0000000081, 300198.99999999517 1504797.0000000088, 300170.99999999587 1504818.0000000088, 300116.99999999674 1504860.000000009, 300085.99999999715 1504888.0000000084, 300063.9999999963 1504911.000000008, 300054.99999999534 1504947.0000000093, 300046.9999999952 1505020.000000009, 300059.9999999951 1505082.0000000084, 300050.9999999964 1505127.0000000086, 300045.99999999657 1505205.0000000081, 300044.9999999957 1505355.0000000086, 300053.9999999967 1505417.000000008, 300061.9999999968 1505504.0000000084, 300067.9999999952 1505604.0000000086, 300194.9999999962 1505598.000000008, 300385.9999999959 1505587.0000000075, 300475.9999999966 1505582.0000000077, 300506.9999999963 1505579.0000000075, 300739.99999999604 1505563.0000000093, 300804.9999999956 1505559.0000000084, 300839.99999999633 1505555.0000000093, 300882.999999995 1505447.0000000088, 300908.9999999971 1505340.0000000093, 300940.99999999534 1505278.000000008, 300991.9999999963 1505125.0000000093, 300998.9999999956 1505035.0000000084, 301060.99999999703 1504934.0000000095, 301092.9999999953 1504902.000000009, 301100.9999999954 1504814.000000008, 301145.99999999575 1504734.0000000088, 301185.99999999633 1504637.0000000088, 301227.9999999964 1504602.0000000081, 301293.99999999674 1504570.0000000077, 301317.9999999971 1504562.0000000075, 301351.9999999971 1504522.000000009, 301371.9999999963 1504482.0000000086, 301369.99999999674 1504441.0000000093, 301364.999999997 1504401.0000000088, 301370.9999999954 1504337.000000008, 301372.9999999971 1504312.0000000088, 301340.9999999966 1504304.0000000088, 301314.9999999968 1504286.000000009))",0,0,0,0,1,1,0,False,False,False,Preah Netr Preah,Preah Netr Preah,preah netr preah,preah netr preah,"Paoy Kdoeang
Cheung Voat
Kandal
Post Chas
Paoy Samraong
Paoy Pring
Paoy Ta Paen
Sreh Kaeut
Sreh Lech
Kouk Srok
Sramaoch
Peam Sreh
Doun Chaeng","1040501
1040502
1040503
1040504
1040505
1040506
1040507
1040508
1040509
1040510
1040511
1040512
1040513",10405,10405,Preak Netr Preah,matched based on CommGis
10808,108,10801,1,Prasat Vean,R)asaTevon,,,Pkoam,pÁaM,Phkoam,updated to match with CDB,Svay Chek,sVayeck,,matches with CDB,Banteay Meanchey,Thmar Puok,2008-11-19,488,25/11/2009,,107,360.4571347,2009,CFA,NCF,0,,5,,0,"POLYGON ((308970.9999999961 1537080.0000000058, 309094.99999999674 1537066.0000000095, 309348.9999999965 1537076.000000009, 309584.9283398381 1537057.458206362, 309700.9999999972 1535128.0000000088, 309649.99999999616 1535136.0000000088, 309599.999999996 1535147.0000000093, 307647.99999999674 1535348.0000000086, 307647.99999999674 1535415.0000000077, 307652.9999999965 1535478.0000000077, 307654.99999999604 1535532.000000009, 307669.99999999534 1535801.0000000081, 307676.99999999686 1535900.0000000077, 307678.9999999964 1535953.0000000081, 307681.9999999967 1535953.0000000081, 307683.99999999616 1536004.0000000093, 307682.9999999953 1536060.000000008, 307687.9999999951 1536106.000000009, 307698.9999999955 1536209.0000000075, 307710.9999999968 1536322.0000000077, 307715.9999999966 1536368.0000000088, 307719.9999999956 1536419.0000000077, 307745.99999999534 1536572.0000000084, 307779.99999999534 1536735.0000000088, 307797.999999995 1536837.0000000088, 307818.999999995 1536939.0000000063, 307841.99999999674 1537039.0000000088, 307848.99999999604 1537152.000000009, 307846.9999999965 1537254.0000000088, 307950.9999999958 1537230.0000000086, 308049.99999999534 1537212.0000000088, 308153.9999999968 1537199.0000000088, 308186.9999999959 1537186.000000009, 308328.9999999963 1537149.0000000088, 308401.9999999959 1537128.0000000088, 308476.9999999951 1537108.0000000075, 308521.99999999546 1537100.0000000072, 308970.9999999961 1537080.0000000058))",0,0,0,1,1,1,0,False,False,False,Phkoam,Svay Chek,svay chek,phkoam,"Phkoam
Yeang Vien
Yeang
Ampil
Ou
Prasat Vien
Ta Duol
Svay Sa
Mau
Thma Koul
Ta Kul","1080101
1080102
1080103
1080104
1080105
1080106
1080107
1080108
1080109
1080110
1080111",10801,10801,Phkoam,matched based on CommGis
10809,108,10804,1,Ponsay Cheung,BnSayeCIg,,,Svay Chek,sVayeck,,matches with CDB,Svay Chek,sVayeck,,matches with CDB,Banteay Meanchey,Thmar Puok,2008-11-19,488,25/11/2009,,106,531.1655,2009,CFA,NCF,0,,4,,0,"POLYGON ((271118.9999999958 1528521.0000000077, 271436.9999999965 1528490.0000000081, 271502.9999999969 1528490.0000000081, 271611.99999999604 1528478.000000009, 271680.99999999674 1528471.0000000075, 271781.9999999957 1528460.0000000093, 271829.9999999964 1528454.0000000086, 271919.9999999971 1528443.0000000081, 272085.99999999563 1528420.0000000088, 272208.99999999546 1528400.0000000075, 272276.99999999534 1528386.0000000088, 272373.99999999534 1528367.0000000084, 272454.9999999951 1528355.0000000093, 272527.999999997 1528344.0000000088, 272588.99999999534 1528331.0000000088, 272667.9999999957 1528316.0000000072, 272742.99999999703 1528300.0000000093, 272891.9999999967 1528276.0000000088, 273056.99999999657 1528242.0000000088, 273098.9999999966 1528237.000000009, 273171.9999999963 1528222.0000000075, 273292.9999999966 1528200.0000000088, 273357.99999999616 1528186.0000000081, 273415.99999999645 1528174.000000009, 273492.99999999505 1528163.0000000086, 273582.9999999958 1528147.0000000084, 273630.9999999965 1528138.0000000075, 273696.9999999969 1528127.0000000093, 273785.9999999968 1528109.0000000095, 273904.99999999546 1528086.000000008, 273943.99999999517 1528082.0000000088, 274021.99999999686 1528065.000000008, 274077.99999999546 1528055.0000000081, 274120.99999999633 1528045.0000000086, 274201.99999999616 1528028.0000000075, 274244.99999999703 1528023.0000000077, 274293.99999999633 1528011.0000000086, 274331.9999999952 1528005.000000008, 274347.99999999546 1528001.000000009, 274324.9999999959 1527904.000000009, 274301.99999999645 1527832.000000008, 274291.99999999686 1527795.000000008, 274266.9999999957 1527713.0000000093, 274260.99999999505 1527693.000000008, 274252.99999999715 1527648.0000000077, 274239.999999995 1527599.0000000084, 274204.99999999645 1527480.0000000075, 274188.9999999962 1527424.0000000088, 274174.99999999546 1527369.0000000088, 274143.99999999587 1527265.0000000075, 274113.9999999971 1527141.0000000088, 274081.9999999966 1527032.0000000077, 274071.99999999703 1526990.0000000075, 274015.9999999962 1526992.0000000093, 273936.9999999959 1526996.0000000081, 273714.9999999966 1527004.0000000084, 273578.99999999686 1527010.0000000088, 273461.99999999546 1527015.0000000088, 273362.999999996 1527023.0000000088, 273299.9999999959 1527024.0000000075, 273241.99999999563 1527027.000000008, 273144.9999999956 1527027.000000008, 272760.99999999674 1527004.0000000084, 272663.99999999674 1526997.000000009, 272548.99999999703 1526980.000000008, 272500.99999999633 1526974.0000000075, 272361.9999999963 1526957.0000000084, 272310.9999999952 1526949.0000000084, 272151.99999999604 1526933.0000000081, 272004.9999999958 1526916.0000000093, 271952.9999999962 1526912.0000000081, 271918.9999999963 1526908.000000009, 271850.9999999964 1526902.0000000063, 271792.9999999961 1526897.0000000088, 271686.9999999951 1526888.0000000077, 271558.9999999955 1526877.0000000075, 271491.9999999965 1526873.0000000084, 271399.9999999963 1526867.0000000077, 271271.9999999966 1526897.0000000088, 271172.9999999972 1526930.000000008, 271078.9999999953 1526960.0000000088, 270910.99999999505 1527006.000000008, 270789.9999999969 1527041.0000000086, 270654.9999999958 1527077.000000008, 270544.9999999959 1527106.0000000081, 270452.9999999957 1527129.0000000077, 270413.9999999959 1527139.0000000093, 270317.9999999968 1527164.0000000084, 270261.999999996 1527178.000000009, 270235.99999999616 1527184.0000000075, 270246.9999999966 1527248.0000000084, 270260.9999999951 1527346.0000000093, 270282.99999999604 1527489.0000000084, 270298.9999999963 1527570.0000000081, 270303.99999999604 1527619.0000000075, 270311.99999999616 1527663.0000000093, 270318.9999999954 1527711.0000000077, 270320.9999999971 1527737.0000000075, 270323.9999999952 1527753.0000000077, 270328.999999995 1527803.000000008, 270336.9999999951 1527866.000000008, 270357.9999999951 1528015.0000000077, 270366.9999999961 1528084.0000000084, 270384.9999999958 1528218.0000000086, 270388.999999997 1528252.0000000086, 270394.9999999954 1528314.0000000077, 270400.99999999604 1528380.0000000081, 270403.9999999964 1528419.000000008, 270407.99999999534 1528450.0000000075, 270402.9999999955 1528490.0000000081, 270401.99999999686 1528557.0000000093, 270466.99999999645 1528556.0000000084, 270550.9999999965 1528554.000000009, 270583.99999999563 1528553.0000000081, 270816.99999999534 1528542.0000000077, 270892.99999999534 1528538.0000000088, 270956.9999999963 1528533.0000000088, 271118.9999999958 1528521.0000000077))",0,0,1,1,0,0,0,True,False,False,Svay Chek,Svay Chek,svay chek,svay chek,"Kouk Khvav
Ponsay Cheung
Kloeng
Baek Chan Chas
Ponsay Tboung
Roka Thmei
Ta Ong Lech
Slaeng
Thmei
Khvav Lech
Samraong
Chamkar Kor
Damnak Kokos
Lboek Svay
De Cho Phnom Chhat","1080401
1080402
1080403
1080404
1080405
1080406
1080407
1080408
1080409
1080410
1080411
1080412
1080413
1080414
1080415",10804,10804,Svay Chek,matched based on CommGis
10707,107,10704,15,Phnom Preah Khum Banteay Chmar,PñMRBHXMubnÞayqµar,,,Thmar Puok,fµBYYk,Thma Puok,updated to match with CDB,Thmar Puok,fµBYk,Thma Puok,updated to match with CDB,Banteay Meanchey,Thmar Puok,2008-11-19,488,25/11/2009,,108,314.6709628,2009,CFA,NCF,0,,7,,0,"POLYGON ((304275 1544564, 304361 1544563, 304374 1544573, 304392 1544595, 304402 1544618, 304417 1544658, 304445 1544724, 304480 1544769, 304587 1544692, 304901.9592000004 1544163.3323, 305401.61199999973 1543323.9156999998, 304077 1543036, 303688 1542935, 302450 1544929, 302673 1544870, 302963 1544819, 303050 1544809, 303185 1544785, 303326 1544772, 303721 1544687, 303764 1544676, 303824 1544662, 303916 1544649, 303971 1544638, 304118 1544603, 304197 1544578, 304275 1544564))",0,0,0,0,1,1,0,False,False,False,Thma Puok,Thma Puok,thma puok,thma puok,"Thma Puok
Neak Ta
Voat Chas
Kasen
Svay
Thnal Dach
Anlong Trach","1070401
1070402
1070403
1070404
1070405
1070406
1070407",10704,10704,Thma Puok,matched based on CommGis
10707,107,10704,15,Phnom Preah Khum Kouk Kathen,PñMRBHXMueKaKkfin,,,Thmar Puok,fµBYYk,Thma Puok,updated to match with CDB,Thmar Puok,fµBYk,Thma Puok,updated to match with CDB,Banteay Meanchey,Thmar Puok,2008-11-19,488,25/11/2009,,108,309.6464781,2009,CFA,NCF,0,,8,,0,"POLYGON ((305677.87119999994 1542816.9236999992, 302983 1541220, 302982.8969999999 1541220.3389999997, 302983 1541220.4000000004, 302568 1542586, 302974 1542710, 303363 1542872, 303688 1542935, 304077 1543036, 305401.61199999973 1543323.9156999998, 305406.6908 1543315.3830999993, 305677.05929999985 1542818.7280000001, 305677.87119999994 1542816.9236999992))",0,0,0,0,1,1,0,False,False,False,Thma Puok,Thma Puok,thma puok,thma puok,"Thma Puok
Neak Ta
Voat Chas
Kasen
Svay
Thnal Dach
Anlong Trach","1070401
1070402
1070403
1070404
1070405
1070406
1070407",10704,10704,Thma Puok,matched based on CommGis
