key_0,UniqueID,CPAName_Eg,Houholed,No_Village,Commune_shp,Khum,District_shp,Srok,Province_shp,Kheth,PA_Name_E,PA_Name_K,Legal_Stat,CPAName_K,Hectares,Perimeter,Date_MOE_K,Date_Agree,Date_CFMP,geometry,NO,CPA NAME,Village,Commune_xlsx,District_xlsx,Province_xlsx,Protected Areas,"Year 
Estalishment ","Number
 Family/
Househole","CPA 
Area",Total CPA Committee,Women,Date Prakas,Date Agreement sighed,Date Management Signed,Other,Inactive,Unnamed: 17,Note,area_shp2excel,area_inconsistent
ou choam,0,Ou Choam,202,2,Kampong La Pov,kMBg;el<A,Samlot,sMLUt,Battambang,)at;dMbg,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,GUrCaM,372.5070755,9988,,,,"POLYGON Z ((276532.2149 1388309.0658 0, 277283.0804000003 1387727.7504999992 0, 277413.2093000002 1387818.8407000005 0, 277576.7474999996 1387855.7687 0, 277919.65029999986 1387850.4933000002 0, 278204.5234000003 1387871.5950000007 0, 278521.0491000004 1387892.6966999993 0, 278634.05869999994 1387947.6285999995 0, 278615.70320000034 1387892.5618999992 0, 278594.37789999973 1387769.9418000001 0, 278589.0466 1387679.3094999995 0, 278578.3839999996 1387588.6773000006 0, 278530.40220000036 1387476.7197999991 0, 278477.08910000045 1387391.4188 0, 278466.42650000006 1387322.1118 0, 278514.40830000024 1387220.8169 0, 278493.0831000004 1387119.5220999997 0, 278519.7396 1387002.2333000004 0, 278583.7153000003 1386916.9322999995 0, 278637.0284000002 1386863.6192000005 0, 278674.3476 1386810.3060999997 0, 278706.3354000002 1386735.6678 0, 278732.9919999996 1386634.3728999998 0, 278743.6546 1386581.0598000009 0, 278716.9979999997 1386490.4276 0, 278653.0223000003 1386442.4458000008 0, 278610.3718999997 1386362.4761999995 0, 278573.0526999999 1386266.512599999 0, 278541.0647999998 1386170.5490000006 0, 278512.6935999999 1386085.4352000002 0, 278498.4144000001 1386042.5976 0, 278445.1013000002 1385994.6158000007 0, 277640.99760000035 1385994.6158000007 0, 276904.3529000003 1385994.6158000007 0, 276893.6902999999 1386250.5187 0, 276888.3590000002 1386325.1569999997 0, 276876.7165000001 1386363.9650999997 0, 276880.91860000044 1386364.4053000007 0, 276893.5795999998 1387077.643100001 0, 276947.9879999999 1387371.4482000005 0, 276270.52550000045 1387868.2540000007 0, 276269.7631999999 1387866.8927999996 0, 276013.1414999999 1387653.0414000005 0, 275992.34530000016 1387640.5636999998 0, 275928.0694000004 1387745.866800001 0, 275921.17169999983 1387761.9614000004 0, 275878.3141000001 1387866.6223000009 0, 275840.37679999974 1387957.9016999993 0, 275821.5230999999 1388001.1272999998 0, 275805.14109999966 1388041.0764000006 0, 275751.9445000002 1388130.0209999997 0, 276085.51580000017 1388267.3739 0, 276532.2149 1388309.0658 0))",,,,,,,,,,,,,,,,,,,,,
tatoak o kroach,1,Tatoak O Kroach,239,2,Tatoak,taetak,Samlot,sMLUt,Battambang,)at;dMbg,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,TaetakGUrRkUc,403.3552578,8056,,,,"POLYGON Z ((266012.78050000034 1380652.6585000008 0, 265742.1782999998 1380659.5969999991 0, 265685.5088999998 1380772.9357999992 0, 265558.00289999973 1380836.6887999997 0, 265246.3213999998 1380829.6051000003 0, 265090.48060000036 1380794.1867999993 0, 264948.8071999997 1380780.0194000006 0, 264892.1377999997 1380808.3541 0, 264892.1377999997 1380907.5254999995 0, 264913.38879999984 1381098.7846000008 0, 264927.55620000046 1381353.7967000008 0, 264977.14190000016 1381622.9761999995 0, 265097.56429999974 1381927.573999999 0, 265239.2377000004 1382232.1719000004 0, 265338.4090999998 1382402.1799999997 0, 265437.58050000016 1382494.2676999997 0, 265440.85080000013 1382546.5928000007 0, 265487.51020000037 1382616.5819000006 0, 265571.37200000044 1382766.3352000006 0, 265652.23890000023 1382769.3302999996 0, 265921.7949000001 1382851.6947000008 0, 266049.0853000004 1382911.5960000008 0, 266108.9866000004 1383098.7876999993 0, 266176.3755999999 1383226.0780999996 0, 266228.7893000003 1383098.7876999993 0, 266311.1536999997 1382949.0343999993 0, 266415.9809999997 1382934.0590000004 0, 266618.1480999999 1382911.5960000008 0, 266917.65479999967 1382776.818 0, 266968.57239999995 1382776.818 0, 267073.9084000001 1382685.5267999992 0, 267109.3267000001 1382331.3432999998 0, 267251.00009999983 1382111.7495000008 0, 267286.4184999997 1381856.7372999992 0, 267187.24710000027 1381651.3109000009 0, 266960.30370000005 1381360.6641000006 0, 266783.4779000003 1381134.2029 0, 266759.02639999986 1381112.259299999 0, 266507.21470000036 1380886.2744999994 0, 266294.7045999998 1380645.4297000002 0, 266012.78050000034 1380652.6585000008 0))",,,,,,,,,,,,,,,,,,,,,
ou treng,2,Ou Treng,55,1,Tatoak,taetak,Samlot,sMLUt,Battambang,)at;dMbg,Phnom Samkos Wildlife Sanctuary,sMkus,MOE Prakas,GUrERtg,186.376716,6442,,,,"POLYGON Z ((262868.5055999998 1376961.4097000007 0, 262869.1671000002 1376960.9598999992 0, 262953.83389999997 1376977.8933000006 0, 263030 1377012 0, 263080.8342000004 1377047.7434 0, 263121.05090000015 1377098.5435000006 0, 263159.1509999996 1377147.227 0, 263203.6010999996 1377164.1602999996 0, 263252.28450000007 1377189.5603999998 0, 263300.96800000034 1377227.6603999995 0, 263356.0014000004 1377267.8772 0, 263427 1377290 0, 263459.71829999983 1377189.5603999998 0, 263610.00189999957 1377204.1654000003 0, 263665.0354000004 1377119.4986000005 0, 263739.1188000003 1377068.6985 0, 263724.3021 1376996.7316999994 0, 263644 1376910 0, 263744 1376826 0, 263982 1376885 0, 264064 1377006 0, 264158 1377099 0, 264235 1377250 0, 264394.16229999997 1376952.1096 0, 264515.5401999997 1376905.1855999995 0, 264710.3532999996 1376929.0643000007 0, 264809.9057 1376904.5798000004 0, 264809.82359999977 1376850.6416999996 0, 264705.24679999985 1376714.1560999993 0, 264456.04640000034 1376126.3663999997 0, 264327.02419999987 1376094.8976000007 0, 264072.3622000003 1375899.767000001 0, 263940.0702999998 1375582.2663000003 0, 263147.0686999997 1376027.1552000009 0, 262868.5055999998 1376961.4097000007 0))",,,,,,,,,,,,,,,,,,,,,
stung thmey,3,Stung Thmey,464,1,Pramoy,RbeM:ay,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,sÞWgfµI,463.3887127,9369,,,,"POLYGON Z ((301741.17119999975 1365351.4246999994 0, 302372.07079999987 1365188.3615000006 0, 302444.3503999999 1365321.2623999994 0, 302590.1300999997 1365323.1555000003 0, 302983.0842000004 1365324.8772 0, 303073.8814000003 1365304.9405000005 0, 303085.72479999997 1365256.4499999993 0, 303043.12200000044 1365221.9620999992 0, 302948.87040000036 1365123.0172000006 0, 302959.6327999998 1365004.1646999996 0, 302992.2751000002 1364936.5483999997 0, 302985.28029999975 1364882.9217000008 0, 303073.8808000004 1364743.0258000009 0, 303230.09750000015 1364558.829500001 0, 303117.21920000017 1364515.4806999993 0, 302996.7686999999 1364490.0661999993 0, 302849.6501000002 1364318.9986000005 0, 302768.4411000004 1364302.3543999996 0, 302730.6835000003 1364279.0515 0, 302644.3685999997 1364223.2008999996 0, 302551.9918999998 1364134.2456999999 0, 302430.3594000004 1364083.1848000009 0, 302343.2889999999 1363987.1275999993 0, 302299.7896999996 1363791.7354000006 0, 302247.49069999997 1363692.8911000006 0, 302232.1732000001 1363612.2025000006 0, 302168.7993000001 1363542.3515000008 0, 302107.21410000045 1362882.0297999997 0, 300711.97140000015 1362863.7619000003 0, 300392.9539999999 1363334.5206000004 0, 300290.50490000006 1363732.6040000003 0, 300318.84229999967 1363738.2721999995 0, 300369.8995000003 1363889.6033999994 0, 300285.9480999997 1363971.2234000005 0, 300251.3799999999 1364121.7047000006 0, 300315.57830000017 1364195.7794000003 0, 300361.66199999955 1364312.5243999995 0, 300806.01049999986 1364616.8718999997 0, 301146.1688000001 1364878.5316000003 0, 301381.66309999954 1365018.0833 0, 301547.3811999997 1365122.7471999992 0, 301652.0454000002 1365262.2991000004 0, 301719.07320000045 1365329.3268 0, 301741.17119999975 1365351.4246999994 0))",,,,,,,,,,,,,,,,,,,,,
stung thmey,4,Stung Thmey,,,Pramoy,RbeM:ay,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,sÞWgfµI,248.98765,7610,,,,"POLYGON Z ((298503 1364111 0, 298503 1364015 0, 298469 1363876 0, 298486 1363736 0, 298390 1363553 0, 298277 1363623 0, 298102 1363736 0, 298006 1363858 0, 297945 1363989 0, 297823 1364059 0, 297675 1364059 0, 297308 1363963 0, 297169 1363971 0, 296776 1364128 0, 296515 1364146 0, 296345 1364197 0, 296341 1364210 0, 296523 1364359 0, 296962 1364633 0, 297449 1365124 0, 297563 1365269 0, 297719 1365432 0, 298472 1365327 0, 299166 1365280 0, 298905 1365079 0, 298713 1364756 0, 298617 1364346 0, 298582 1364242 0, 298503 1364111 0))",,,,,,,,,,,,,,,,,,,,,
sre peang,5,Sre Peang,237,1,Pramoy,RbeM:ay,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,ERsBaMg,497.4993236,9093,,,,"POLYGON Z ((303323.5098000001 1363844.0154 0, 305704.5444 1362494.5270000007 0, 304807.24060000014 1360579.8077000007 0, 302927.8482999997 1362035.2770000007 0, 302998.50210000016 1362876.0577000007 0, 303323.5098000001 1363844.0154 0))",,,,,,,,,,,,,,,,,,,,,
reang khwav,6,Reang Khwav,188,1,Kantre,kERnþ,Phnum Kravanh,PñMRkvaj,Pursat,eBaFi_sat;,Phnom Aural wildlife Sanctuary,»r:al,CPAMP,Reang Khvav,779.1948291,1535,,,,"POLYGON Z ((384195.0247999998 1343963.6840000004 0, 384772.1376 1344158.331700001 0, 385509.74930000026 1344189.0657000002 0, 386332.73259999976 1344421.2770000007 0, 386937.1644000001 1344462.2555 0, 387387.92700000014 1344663.7328999992 0, 387500.61760000046 1345247.6755 0, 387527.9364 1345780.3949999996 0, 389177.3178000003 1346521.4219000004 0, 389679.30370000005 1345838.4483000003 0, 389204.63719999976 1344790.0834999997 0, 388600.2054000003 1344875.4551 0, 388596.7906999998 1344243.7043999992 0, 386964.48369999975 1343174.8499999996 0, 384147.21690000035 1342874.3409000002 0, 384195.0247999998 1343963.6840000004 0))",,,,,,,,,,,,,,,,,,,,,
phum pramoy,7,Phum Pramoy,981,1,Pramoy,RbeM:ay,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,ERsBaMg,1090.238598,1750,,,,"POLYGON Z ((294210 1365026 0, 295176 1362499 0, 295467 1362314 0, 295401 1362195 0, 293998 1362526 0, 292927 1363041 0, 291763 1360621 0, 291268.6409999998 1360009.3167000003 0, 291103.27610000037 1360025.8531999998 0, 290987.5207000002 1359877.0247000009 0, 290982 1364457 0, 294210 1365026 0))",,,,,,,,,,,,,,,,,,,,,
phum pramoy,8,Phum Pramoy,,,Pramoy,RbeM:ay,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,ERsBaMg,135.6496724,5831,,,,"POLYGON Z ((291128 1359205 0, 291374.4746000003 1359199.0285999998 0, 291447.23510000017 1359126.2679999992 0, 291513.3810999999 1359053.5075000003 0, 291572.9124999996 1358974.1323000006 0, 291698.5898000002 1358927.8301 0, 291797.80879999977 1358921.2155000009 0, 291916.87150000036 1358987.3615000006 0, 291989.63210000005 1359040.2783000004 0, 292115.3093999997 1359199.0285999998 0, 292234.37210000027 1359324.7059000004 0, 292393.12239999976 1359384.2372999992 0, 292465.8830000004 1359271.7891000006 0, 292538.64360000007 1359099.8095999993 0, 292604.78949999996 1358960.9031000007 0, 292545.25820000004 1358855.069599999 0, 292432.8099999996 1358729.3922000006 0, 292373.2786999997 1358530.9542999994 0, 292386.5078999996 1358358.9748 0, 292399.73699999973 1358153.9222999997 0, 292426.1953999996 1357909.1822999995 0, 292252 1357591 0, 291969.78830000013 1357915.7969000004 0, 291804.42339999974 1357935.6405999996 0, 291710 1358054 0, 291657 1358411 0, 291180 1358477 0, 291128 1359205 0))",,,,,,,,,,,,,,,,,,,,,
phum pramoy,9,Phum Pramoy,,,Pramoy,RbeM:ay,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,ERsBaMg,1048.607097,2059,,,,"POLYGON Z ((292353.43489999976 1357603.5878999997 0, 292980 1358014 0, 293800 1358028 0, 293522 1357498 0, 293760 1357393 0, 293993.85479999986 1357868.1718000006 0, 294159.21970000025 1358159.2139999997 0, 294556.0954999998 1358601.0691 0, 294972.81510000024 1359037.6324000005 0, 295191.0968000004 1359017.7885999996 0, 295303.5449000001 1358680.4441999998 0, 295098.4923999999 1358303.4122000001 0, 295038.96109999996 1358290.1830000002 0, 294986.0443000002 1358138.0472999997 0, 294979.4297000002 1357919.7655999996 0, 295058.8048999999 1357952.8386000004 0, 295131.56539999973 1357992.5262000002 0, 295158.0237999996 1358157.8911000006 0, 295257.2428000001 1358270.3391999993 0, 295343.2324999999 1358356.329 0, 295396.1492999997 1358488.6208999995 0, 295521.82660000026 1358521.6939000003 0, 295581.358 1358620.9127999991 0, 295607.8163999999 1358786.2777999993 0, 295528.44120000023 1358878.882099999 0, 295475.52440000046 1359090.5492000002 0, 295402.76389999967 1359103.7784000002 0, 295369.6908999998 1359388.2060000002 0, 295634.2747999998 1359679.2482999992 0, 295680.57689999975 1359791.6963999998 0, 295877 1359840 0, 295917 1360144 0, 296017.92140000034 1360228.2598 0, 296057.60890000034 1360413.4684999995 0, 296128 1360515 0, 296301.68759999983 1360561.6355000008 0, 296381.06269999966 1360614.5523000006 0, 296480.28170000017 1360634.3959999997 0, 296566.27139999997 1360641.0106000006 0, 296632.4173999997 1360746.8442000002 0, 296685.3342000004 1360819.604699999 0, 296705.17789999954 1360892.3652999997 0, 296763 1361017 0, 296869 1360806 0, 296897.0011999998 1360568.2500999998 0, 296897.0011999998 1360455.8018999994 0, 296870.54289999977 1360290.4370000008 0, 296830.85529999994 1360184.6034999993 0, 296811.0115 1360105.2282999996 0, 296790 1359959 0, 296844.0844999999 1359840.6445000004 0, 296903.6157999998 1359741.4255 0, 296936.68879999965 1359615.7481999993 0, 296969.76180000044 1359476.8416000009 0, 296976.3764000004 1359311.4767000005 0, 296949.9179999996 1359152.726399999 0, 296936.68879999965 1359013.8199000005 0, 296936.68879999965 1358941.0592999998 0, 296956.53259999957 1358888.1425 0, 297001 1358768 0, 296890.38659999985 1358749.2359999996 0, 296870.54289999977 1358676.4755000006 0, 296830.85529999994 1358597.1002999991 0, 296797.7823000001 1358392.0478000008 0, 296751.4801000003 1358325.9017999992 0, 296758.09470000025 1358147.3077000007 0, 296652.2611999996 1358034.8596 0, 296605.9589999998 1357935.6405999996 0, 296526.58380000014 1357803.3487 0, 296453.8233000003 1357737.2027000003 0, 296334.76049999986 1357684.2860000003 0, 296274 1357644 0, 296295.07299999986 1357552.6555000003 0, 296209.0832000002 1357393.9052000009 0, 296156.16640000045 1357261.6132999994 0, 296109.86429999955 1357175.6235000007 0, 296076.7912999997 1357089.6337000001 0, 296010.6453 1356997.0294000003 0, 295956 1356877 0, 296030.4890999999 1356805.2061 0, 296050.3328999998 1356732.4454999994 0, 296070.1766999997 1356686.1434000004 0, 296115 1356612 0, 296050.3328999998 1356553.851399999 0, 296050.3328999998 1356514.1637999993 0, 295970.95770000014 1356434.7886999995 0, 295970.95770000014 1356355.4134999998 0, 295983 1356281 0, 296004.0307 1356209.8924000002 0, 296062 1356017 0, 293694 1356017 0, 293125 1356242 0, 292649 1357022 0, 292676.8886000002 1357175.6235000007 0, 292703.34700000007 1357294.6862000003 0, 292690.1178000001 1357453.4365999997 0, 292637.2011000002 1357565.8847000003 0, 292491.6798999999 1357625.416099999 0, 292332.9296000004 1357592.3431000002 0, 292353.43489999976 1357603.5878999997 0))",,,,,,,,,,,,,,,,,,,,,
krang ro ngeang,10,Krang Ro Ngeang,157,1,Anlung Reap,Gnjlugrab,Veal Veng,valevg,Pursat,eBaFi_sat;,Phnom Samkos Wildlife Sanctuary,sMkus,CPAMP,RkaMreg[g,710.222728,1172,3/28/2012,,,"POLYGON Z ((283697.5825925003 1360054.5211243776 0, 283825.88239249954 1360157.2097243776 0, 284142.335592498 1360165.0234243774 0, 284478.32299249986 1360165.0234243774 0, 284915.88799249934 1360176.7439243773 0, 284931.51529249916 1360223.6258243767 0, 284978.3972925003 1360274.4146243779 0, 285080.9640924995 1360406.8683243783 0, 285158.1459924997 1360508.5606243757 0, 285224.8977924985 1360585.4817243775 0, 285275.3162924982 1360649.4703243764 0, 285310.4777924995 1360711.9796243773 0, 285333.91879249824 1360770.5821243764 0, 285355.27249249717 1360854.5229243801 0, 285404.9436924988 1360979.7406243754 0, 285449.27109249955 1361039.1915243769 0, 285500.37799249956 1361080.3899243788 0, 285627.6236924985 1361081.4329243784 0, 285680.8165924986 1361064.7449243756 0, 285746.1172924982 1361016.1554243786 0, 285801.80429249903 1360974.0041243767 0, 285833.9929924998 1360903.4143243765 0, 286013.7071924982 1360735.420624377 0, 286181.70089249866 1360559.6132243776 0, 286412.2038924982 1360446.3152243735 0, 286724.7502925004 1360313.4829243755 0, 286888.83719249995 1360204.091724375 0, 287091.9922924982 1359973.5887243764 0, 287259.98599249864 1359618.0672243775 0, 287267.7996924994 1359391.471024377 0, 287146.68799249915 1359223.4773243794 0, 287119.3401924986 1359098.4588243754 0, 287099.80599249894 1359028.1358243783 0, 287095.58259249845 1358911.5211243776 0, 287094.5825924994 1358514.5211243776 0, 287130.5825924994 1358026.521124374 0, 287080.5826924992 1358007.5212243793 0, 286900.58259249845 1358074.5211243776 0, 286771.6322924988 1358125.6581243759 0, 286648.5825925003 1358123.5211243776 0, 286410.58259249845 1358090.5211243776 0, 286337.9740924993 1358195.981024373 0, 286259.58259249845 1358257.5211243758 0, 286243.42879249895 1358348.3474243784 0, 286243.42879249895 1358391.3225243797 0, 286262.9629924995 1358446.0181243753 0, 286270.7766924984 1358481.1796243784 0, 286239.521992498 1358516.341124376 0, 286196.5468924995 1358531.9684243759 0, 286141.8512924993 1358539.7821243757 0, 286063.71469250036 1358535.8752243777 0, 286024.6463924981 1358528.0616243759 0, 285981.6711924988 1358485.0864243766 0, 285942.60289249936 1358449.925024377 0, 285880.09359249746 1358410.8567243756 0, 285833.211692498 1358399.1362243758 0, 285786.3296925006 1358375.6952243762 0, 285731.63409249944 1358348.3474243784 0, 285673.0315924994 1358301.4654243754 0, 285633.9632924981 1358254.583524376 0, 285567.54719249805 1358207.7015243785 0, 285497.2242924999 1358207.7015243785 0, 285422.9944924991 1358215.5152243783 0, 285348.7646924983 1358223.3288243765 0, 285282.3485924983 1358238.95612438 0, 285239.37349249976 1358250.676624378 0, 285200.30519249843 1358266.3039243778 0, 285153.4231925001 1358301.4654243754 0, 285090.913992498 1358352.2542243765 0, 285051.8456925004 1358399.1362243758 0, 284997.1499924985 1358461.6455243768 0, 284934.64079249924 1358504.620624378 0, 284840.87679249974 1358516.341124376 0, 284751.01969249913 1358528.0616243759 0, 284657.25579249853 1358539.7821243757 0, 284555.6781924981 1358539.7821243757 0, 284411.12549249915 1358551.5025243775 0, 284270.47959249833 1358563.2230243755 0, 284107.5825924994 1358597.5211243776 0, 283942.3058924982 1358610.1050243785 0, 283848.5419924985 1358688.2416243774 0, 283705.5825924994 1358842.5211243776 0, 283607.58259249845 1359345.5211243776 0, 283617.58259249845 1359517.5211243795 0, 283618.5825925003 1359678.521124374 0, 283727.58259249845 1359908.521124374 0, 283697.5825925003 1360054.5211243776 0))",,,,,,,,,,,,,,,,,,,,,
