clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
1,urban,Pursat,0.35555556,0.05591239,0.23097499,0.48013613,0.26060608,0.08882899,0.06268275,0.45852938,55,0.0
2,rural,Pursat,0.11831276,0.021529805,0.07034136,0.16628416,0.0,,,,54,0.0
3,rural,Otdar Meanchey,0.5599648,0.059773438,0.42972967,0.6901999,0.52116406,0.08107964,0.3445067,0.69782144,63,0.0
4,rural,Banteay Meanchay,0.31313133,0.05402658,0.19541751,0.43084514,0.23148149,0.0759098,0.066088244,0.39687473,66,0.0
5,urban,Prey Veng,0.46855348,0.091375455,0.26743746,0.6696695,0.41614258,0.11133801,0.17108928,0.6611959,53,0.0
6,rural,Kratie,0.38969406,0.038852807,0.30575767,0.47363046,0.31239936,0.06391255,0.1743247,0.45047402,69,0.0
7,rural,Takeo,0.40522876,0.05285669,0.29006395,0.5203936,0.33251637,0.081353925,0.15526138,0.50977135,68,0.0
8,rural,Svay Rieng,0.20947178,0.03175406,0.14028561,0.27865794,0.074681245,0.04593734,-0.025407625,0.1747701,65,6.15384578704834
9,rural,Svay Rieng,0.36734694,0.05102541,0.25617215,0.47852176,0.3117914,0.07246654,0.15390037,0.46968243,49,0.0
10,rural,Svay Rieng,0.42489713,0.069161616,0.27548257,0.57431173,0.39300415,0.0831718,0.21332239,0.5726859,54,0.0
11,rural,Kampong Thom,0.49893165,0.03809578,0.4150834,0.5827799,0.47222224,0.05836823,0.34375465,0.6006898,52,0.0
12,rural,Takeo,0.33730158,0.04580502,0.23648544,0.43811777,0.26984128,0.07018987,0.11535441,0.42432815,56,0.0
13,rural,Otdar Meanchey,0.35115305,0.042067256,0.25742137,0.44488472,0.22955975,0.08424486,0.041850504,0.417269,55,3.636366128921509
14,rural,Battambang & Pailin,0.17916667,0.036930513,0.09688036,0.26145297,0.058333334,0.04264874,-0.03669398,0.15336065,40,0.0
15,urban,Prey Veng,0.29464287,0.04832997,0.18695697,0.40232876,0.24404763,0.06743512,0.093792796,0.39430246,56,0.0
16,rural,Kampot & Kep,0.32986113,0.043862727,0.23510146,0.42462078,0.23125002,0.06814233,0.08403745,0.37846258,80,0.0
17,urban,Otdar Meanchey,0.36666667,0.062886074,0.22825536,0.505078,0.24444446,0.095432155,0.0343997,0.45448923,60,0.0
18,rural,Kampong Thom,0.5013889,0.058026835,0.37602958,0.62674826,0.42638892,0.0926013,0.22633599,0.6264419,80,0.0
19,rural,Prey Veng,0.28030303,0.024480745,0.22696407,0.333642,0.12878788,0.054227024,0.010637344,0.24693842,73,9.589040279388428
20,rural,Kampong Thom,0.59375006,0.06671356,0.4496242,0.73787594,0.55642366,0.08784875,0.366638,0.7462094,64,0.0
21,rural,Otdar Meanchey,0.46851856,0.05038183,0.35626084,0.5807763,0.41018522,0.084476896,0.22195895,0.5984115,68,11.764705181121826
22,rural,Takeo,0.3280781,0.032126077,0.2586739,0.39748225,0.21471472,0.06233645,0.080045015,0.34938443,74,0.0
23,rural,Kandal,0.5229469,0.06932945,0.36847126,0.6774225,0.4903382,0.0884033,0.2933634,0.687313,46,0.0
24,rural,Prey Veng,0.4465021,0.058129616,0.31855968,0.57444453,0.41872433,0.06830915,0.2683769,0.56907177,54,0.0
25,urban,Kratie,0.19238685,0.048239335,0.086212784,0.29856092,0.046296306,0.048005417,-0.059362903,0.15195552,54,0.0
26,rural,Siem Reap,0.5053764,0.034698978,0.43041378,0.58033895,0.5053764,0.034698978,0.43041378,0.58033895,62,0.0
27,rural,Banteay Meanchay,0.35726497,0.031782143,0.28801763,0.4265123,0.25299147,0.06896771,0.102723725,0.4032592,69,5.797100067138672
28,rural,Kampot & Kep,0.43274856,0.05188601,0.31969863,0.5457985,0.37134504,0.079021595,0.19917178,0.5435183,63,9.52380895614624
29,urban,Kampong Chhnang,0.1883469,0.0637251,0.046358526,0.33033526,0.1300813,0.07329691,-0.033234388,0.29339698,41,0.0
30,rural,Siem Reap,0.6245792,0.048786566,0.5191822,0.7299762,0.6195287,0.051976405,0.5072405,0.7318169,66,0.0
31,urban,Banteay Meanchay,0.22463769,0.058515135,0.09425784,0.35501754,0.18961354,0.06778385,0.038581707,0.34064534,46,0.0
32,urban,Prey Veng,0.38797817,0.045690563,0.28617325,0.48978308,0.36885247,0.05873755,0.23797706,0.4997279,64,4.6875
33,urban,Battambang & Pailin,0.17069243,0.026012711,0.113438845,0.22794603,0.005636071,0.006135513,-0.007868103,0.019140245,69,0.0
34,rural,Mondul Kiri and Ratanak Kiri,0.80718964,0.0518742,0.69512224,0.91925704,0.79738575,0.05766078,0.6728172,0.9219543,85,0.0
35,rural,Takeo,0.20624049,0.03152424,0.1381365,0.27434447,0.057838663,0.040032588,-0.028646486,0.14432381,73,0.0
36,rural,Kampot & Kep,0.48232326,0.0336663,0.40897068,0.5556758,0.48232326,0.0336663,0.40897068,0.5556758,49,10.204082727432251
37,rural,Svay Rieng,0.3210923,0.055437714,0.2013264,0.4408582,0.20056498,0.07954739,0.028713306,0.37241668,59,0.0
38,rural,Pursat,0.43137258,0.06048599,0.29824382,0.56450135,0.36056647,0.08937349,0.16385674,0.5572762,61,16.39344096183777
39,rural,Pursat,0.46000004,0.040440716,0.37188727,0.54811275,0.44370374,0.044700753,0.34630916,0.5410983,77,2.5974035263061523
40,rural,Kratie,0.3148148,0.02809497,0.25411934,0.3755103,0.22027291,0.056313068,0.09861592,0.34192988,57,0.0
41,urban,Pursat,0.14141414,0.054781027,0.015088871,0.26773942,0.060606062,0.059452455,-0.07649155,0.19770367,44,0.0
42,rural,Kampot & Kep,0.33183184,0.0358914,0.2536312,0.41003248,0.23423424,0.06453103,0.09363321,0.37483525,74,0.0
43,urban,Kratie,0.29789272,0.046873625,0.19472457,0.40106088,0.16187741,0.07214012,0.0030980622,0.32065675,58,0.0
44,rural,Pursat,0.6296297,0.06905439,0.43790397,0.8213554,0.6296297,0.06905439,0.43790397,0.8213554,36,8.33333134651184
45,rural,Otdar Meanchey,0.6513411,0.043402597,0.55757546,0.7451067,0.6417625,0.047695275,0.5387232,0.7448019,58,0.0
46,rural,Battambang & Pailin,0.304414,0.03029651,0.23773184,0.37109616,0.1826484,0.06323422,0.043470833,0.32182598,73,0.0
