clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
46,rural,Kampong Cham,0.20414995,0.04547137,0.107754946,0.30054495,0.10642571,0.056948397,-0.0142995,0.22715092,88,5.681818723678589
47,rural,Kampong Cham,0.2979798,0.02765301,0.23963705,0.35632256,0.20707071,0.048646357,0.10443587,0.30970556,77,0.0
48,rural,Kampong Cham,0.26732028,0.030803937,0.20166323,0.3329773,0.10130719,0.048892595,-0.0029049097,0.20551929,89,4.494380950927734
49,rural,Kampong Cham,0.40046299,0.06610371,0.26032937,0.5405966,0.35011575,0.08281156,0.1745631,0.52566844,96,0.0
50,rural,Kampong Cham,0.3797251,0.037332114,0.30015358,0.4592966,0.31786942,0.05775527,0.194767,0.44097188,102,4.901963472366333
51,urban,Kampong Cham,0.11877395,0.04505202,0.022747839,0.21480006,0.0651341,0.046889942,-0.03480944,0.16507764,58,0.0
52,urban,Kampong Cham,0.14300412,0.030190146,0.07722544,0.20878279,0.0,,,,58,6.896549463272095
53,rural,Kampong Cham,0.35852715,0.047887366,0.25749364,0.45956066,0.30749357,0.06153313,0.17766999,0.4373171,86,0.0
54,urban,Kampong Cham,0.13122606,0.029562932,0.067359224,0.19509289,0.0,,,,63,7.9365074634552
55,rural,Kampong Cham,0.23880598,0.034170557,0.16636764,0.3112443,0.1252073,0.053028155,0.012792632,0.23762196,67,0.0
56,rural,Kampong Cham,0.25347224,0.07241861,0.09995164,0.40699282,0.17245372,0.08424505,-0.006137805,0.35104525,100,4.000002145767212
57,rural,Kampong Cham,0.25320512,0.02303056,0.20411666,0.3022936,0.12820514,0.044977337,0.03233821,0.22407205,56,7.142859697341919
58,rural,Kampong Cham,0.17295597,0.025179878,0.119286336,0.22662562,0.03773585,0.03603953,-0.039080594,0.11455229,60,11.666667461395264
59,rural,Kampong Cham,0.20697169,0.022441149,0.15757905,0.25636432,0.022875817,0.023518033,-0.028887024,0.07463866,56,8.92857313156128
60,rural,Kampong Cham,0.3922559,0.05841033,0.26843154,0.51608026,0.3271605,0.08017942,0.15718773,0.49713328,99,0.0
61,rural,Kampong Cham,0.18864469,0.042638674,0.09868495,0.27860442,0.0989011,0.04766918,-0.0016720765,0.19947428,91,0.0
