clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
1,rural,Banteay Meanchay,0.10225443,0.020746201,0.057434987,0.14707388,0.004830918,0.0051570577,-0.0063102283,0.015972065,69,0.0
2,rural,Banteay Meanchay,0.19806764,0.03292339,0.124709755,0.27142552,0.039855074,0.035169292,-0.038506996,0.11821714,56,17.85714030265808
3,rural,Banteay Meanchay,0.22826087,0.06434688,0.084887095,0.37163466,0.17512077,0.075627714,0.0066117244,0.34362984,57,19.298243522644043
4,rural,Banteay Meanchay,0.33245152,0.052762743,0.2148888,0.45001423,0.23897709,0.0796621,0.06147886,0.4164753,63,0.0
5,urban,Banteay Meanchay,0.16567461,0.039673995,0.07727544,0.25407377,0.048611112,0.046937652,-0.055972494,0.15319471,56,0.0
6,urban,Banteay Meanchay,0.14500941,0.031915437,0.07389739,0.21612145,0.028248588,0.021924969,-0.020603286,0.07710046,59,0.0
7,rural,Banteay Meanchay,0.3354298,0.04528793,0.23759116,0.4332684,0.22746332,0.07216259,0.07156552,0.38336113,53,0.0
8,rural,Banteay Meanchay,0.44444448,0.05907777,0.31681472,0.57207423,0.40067342,0.07532119,0.23795189,0.56339496,66,0.0
9,rural,Banteay Meanchay,0.3366501,0.03264309,0.266129,0.4071712,0.26451078,0.05888641,0.13729444,0.39172715,67,0.0
10,rural,Banteay Meanchay,0.32850245,0.057908513,0.2033987,0.4536062,0.22141708,0.08056957,0.047357105,0.39547706,69,0.0
11,rural,Banteay Meanchay,0.33950618,0.033213038,0.26640478,0.41260758,0.30658436,0.052636646,0.1907319,0.42243683,85,4.7058820724487305
12,rural,Banteay Meanchay,0.2898551,0.03827653,0.20716366,0.3725465,0.21095008,0.061535444,0.07801084,0.34388933,69,0.0
13,rural,Banteay Meanchay,0.2311828,0.041566182,0.13969626,0.32266936,0.11469534,0.061017174,-0.019602554,0.24899323,68,8.823531866073608
14,rural,Banteay Meanchay,0.32500002,0.036711678,0.24195242,0.4080476,0.24166667,0.0695463,0.08434201,0.39899135,53,24.528300762176514
15,urban,Banteay Meanchay,0.15711805,0.06552178,0.012905607,0.3013305,0.097222224,0.08012166,-0.07912436,0.2735688,64,0.0
16,urban,Banteay Meanchay,0.14009662,0.039176527,0.04975539,0.23043786,0.0,,,,49,6.122446060180664
17,rural,Banteay Meanchay,0.25396827,0.042579684,0.16198045,0.3459561,0.16567461,0.06064619,0.034656473,0.29669273,56,0.0
18,urban,Banteay Meanchay,0.26495728,0.0782168,0.09067939,0.43923518,0.14209403,0.09184511,-0.06254962,0.34673768,52,0.0
19,urban,Banteay Meanchay,0.18480726,0.048262287,0.077272184,0.29234233,0.086167805,0.057972245,-0.043002404,0.215338,54,9.259259700775146
20,rural,Banteay Meanchay,0.3249476,0.049003083,0.21709254,0.43280265,0.24737947,0.07408316,0.08432353,0.41043538,53,0.0
21,rural,Banteay Meanchay,0.5282829,0.058493655,0.3995392,0.6570265,0.49292934,0.07552439,0.32670128,0.6591574,55,0.0
22,rural,Banteay Meanchay,0.19444445,0.048125356,0.09047593,0.29841295,0.09856631,0.05934078,-0.029631646,0.22676426,62,0.0
23,rural,Banteay Meanchay,0.38135594,0.063802935,0.24092664,0.52178526,0.346516,0.07564959,0.1800124,0.5130196,63,6.34920597076416
24,rural,Banteay Meanchay,0.3354298,0.047667027,0.23157226,0.4392873,0.24842769,0.07440811,0.08630635,0.410549,53,0.0
25,urban,Banteay Meanchay,0.2420635,0.08325653,0.056556415,0.4275706,0.15575399,0.09604222,-0.058241427,0.3697494,56,0.0
26,rural,Banteay Meanchay,0.3888889,0.05658938,0.26279992,0.5149779,0.3293651,0.083300754,0.14375944,0.5149707,65,13.846153020858765
27,rural,Banteay Meanchay,0.41753474,0.048716333,0.3103108,0.52475864,0.3480903,0.08069559,0.1704805,0.5257001,64,0.0
28,urban,Banteay Meanchay,0.16567461,0.03491134,0.087887295,0.24346192,0.071428575,0.04298005,-0.024336942,0.16719408,56,0.0
29,urban,Banteay Meanchay,0.12891738,0.027067777,0.068606615,0.18922815,0.0,,,,78,0.0
30,urban,Banteay Meanchay,0.26058203,0.048485562,0.15254946,0.36861458,0.17063493,0.06897883,0.016940515,0.32432935,42,0.0
31,urban,Banteay Meanchay,0.15353535,0.04174109,0.060530405,0.24654031,0.081818186,0.047191355,-0.023330709,0.18696707,55,0.0
32,urban,Banteay Meanchay,0.2688889,0.03267586,0.19608255,0.34169525,0.16222222,0.0568527,0.03554652,0.28889793,50,0.0
33,urban,Banteay Meanchay,0.3688889,0.06560185,0.22450022,0.5132776,0.31444445,0.084296614,0.12890887,0.49998006,50,0.0
34,urban,Banteay Meanchay,0.38113698,0.0765926,0.20787248,0.55440146,0.33074936,0.09824992,0.10849262,0.5530061,50,13.999998569488525
35,rural,Battambang & Pailin,0.19444445,0.020955374,0.14832199,0.24056692,0.027777778,0.028244127,-0.034387127,0.089942686,64,12.5
36,rural,Battambang & Pailin,0.2597809,0.07581222,0.095998585,0.42356327,0.13067295,0.091400415,-0.06678564,0.32813153,71,0.0
37,urban,Battambang & Pailin,0.24924926,0.04490607,0.14766467,0.35083383,0.11261262,0.072525404,-0.051451247,0.27667648,37,0.0
38,urban,Battambang & Pailin,0.39130437,0.0661934,0.24381627,0.5387925,0.305153,0.09413247,0.0954128,0.51489323,73,5.47945499420166
39,rural,Battambang & Pailin,0.21367522,0.047098693,0.1100117,0.31733873,0.11431624,0.061087202,-0.020135785,0.24876827,62,16.129034757614136
40,rural,Battambang & Pailin,0.2254902,0.035864886,0.14800882,0.30297157,0.078431375,0.046753164,-0.022572692,0.17943545,68,0.0
41,urban,Battambang & Pailin,0.052380953,0.013475399,0.021306626,0.08345528,0.0,,,,42,16.66666865348816
42,urban,Battambang & Pailin,0.11212122,0.03521975,0.033646718,0.19059572,0.0,,,,58,5.17241358757019
43,urban,Battambang & Pailin,0.18292683,0.042931315,0.0872699,0.27858377,0.08401084,0.048018847,-0.022981815,0.1910035,41,0.0
44,urban,Battambang & Pailin,0.16495727,0.028229306,0.102824986,0.22708955,0.027350428,0.028209386,-0.034738015,0.08943887,65,0.0
45,urban,Battambang & Pailin,0.27690974,0.05670972,0.14862342,0.405196,0.19965278,0.082090534,0.013951095,0.38535446,69,7.24637508392334
46,rural,Battambang & Pailin,0.24014337,0.04677518,0.13719189,0.34309486,0.09318997,0.06246276,-0.04428963,0.23066957,66,6.060606241226196
47,rural,Battambang & Pailin,0.26413256,0.034344036,0.18930334,0.33896178,0.10623782,0.057498194,-0.019039989,0.23151562,57,0.0
48,rural,Battambang & Pailin,0.3304598,0.066461846,0.18565187,0.4752677,0.21934868,0.09149173,0.020005327,0.41869202,58,0.0
49,rural,Battambang & Pailin,0.30070546,0.042783346,0.20653997,0.394871,0.20987655,0.06909049,0.05780941,0.3619437,72,12.5
50,rural,Battambang & Pailin,0.14687976,0.044249073,0.051285446,0.24247406,0.05479452,0.05193873,-0.05741229,0.16700134,73,0.0
51,rural,Battambang & Pailin,0.46903464,0.044164173,0.37362373,0.56444556,0.43624774,0.0619594,0.3023926,0.5701029,61,0.0
52,rural,Battambang & Pailin,0.36111113,0.068779655,0.20972812,0.51249415,0.3015873,0.08862689,0.106520854,0.4966538,70,0.0
53,rural,Battambang & Pailin,0.36068377,0.046946436,0.25926217,0.4621054,0.25128207,0.07825654,0.08221909,0.42034504,65,0.0
54,urban,Battambang & Pailin,0.13370998,0.04140081,0.04258742,0.22483255,0.04613936,0.044633273,-0.052097812,0.14437653,59,0.0
55,rural,Battambang & Pailin,0.35042736,0.019985318,0.3068831,0.39397162,0.31111112,0.040107485,0.22372441,0.39849782,65,0.0
56,rural,Battambang & Pailin,0.26971328,0.038932953,0.18488565,0.35454088,0.18369175,0.061306395,0.050116606,0.3172669,62,0.0
57,rural,Battambang & Pailin,0.28611112,0.043088906,0.1930232,0.37919903,0.20648149,0.06452143,0.06709141,0.34587157,60,0.0
58,rural,Battambang & Pailin,0.33333334,0.0676271,0.18598655,0.48068014,0.24269007,0.08817817,0.050566345,0.4348138,57,0.0
59,rural,Battambang & Pailin,0.29789272,0.034183063,0.22341423,0.37237123,0.20498085,0.060965527,0.072148375,0.33781332,58,0.0
60,rural,Battambang & Pailin,0.46371886,0.050142262,0.35446826,0.57296944,0.42970523,0.07263851,0.27143952,0.587971,49,0.0
61,rural,Battambang & Pailin,0.37903228,0.047959376,0.27453777,0.48352677,0.29480287,0.07421536,0.13310151,0.45650426,62,0.0
62,rural,Kampong Cham,0.29693487,0.024413772,0.24320053,0.35066923,0.21743296,0.05551594,0.09524319,0.33962274,65,10.769230127334595
63,rural,Kampong Cham,0.17380953,0.030101942,0.10877824,0.23884082,0.04761905,0.035788342,-0.029696964,0.12493506,70,0.0
64,rural,Kampong Cham,0.39031342,0.06350422,0.24881719,0.5318096,0.34615386,0.08377784,0.1594852,0.5328225,39,0.0
65,rural,Kampong Cham,0.28070176,0.06566268,0.13763507,0.42376846,0.18226121,0.08552244,-0.004076181,0.3685986,57,0.0
66,rural,Kampong Cham,0.25277779,0.039581675,0.16726677,0.33828878,0.16944444,0.058431227,0.043211456,0.29567742,60,0.0
67,urban,Kampong Cham,0.3076132,0.043842565,0.20992586,0.4053005,0.13168725,0.08116859,-0.049167637,0.31254214,58,6.896549463272095
68,rural,Kampong Cham,0.49555558,0.056112256,0.37052968,0.6205815,0.4855556,0.06155994,0.34839147,0.6227197,50,0.0
69,urban,Kampong Cham,0.022792023,0.017506603,-0.016810665,0.062394712,0.0,,,,41,4.878050088882446
70,urban,Kampong Cham,0.102657005,0.023603907,0.050064225,0.15524979,0.0,,,,56,17.85714030265808
71,urban,Kampong Cham,0.038784068,0.016739506,0.0014861237,0.07608201,0.0,,,,60,11.666667461395264
72,rural,Kampong Cham,0.14957266,0.024512783,0.09661601,0.2025293,0.03076923,0.030218381,-0.03451361,0.09605207,65,0.0
73,rural,Kampong Cham,0.4558824,0.08953684,0.26079836,0.6509664,0.3929739,0.11160067,0.14981692,0.63613087,73,6.849312782287598
74,rural,Kampong Cham,0.2191358,0.031483274,0.1489867,0.2892849,0.074074075,0.049494047,-0.03620553,0.18435368,60,10.000002384185791
75,rural,Kampong Cham,0.29761904,0.045673277,0.19709285,0.39814526,0.22916667,0.067624666,0.0803258,0.37800756,59,5.084747076034546
76,rural,Kampong Cham,0.26811594,0.029259,0.20436607,0.33186585,0.15579711,0.05446603,0.03712582,0.2744684,50,7.999998331069946
77,rural,Kampong Cham,0.30268198,0.027121712,0.2440891,0.3612749,0.18390805,0.058362998,0.05782246,0.30999362,58,0.0
78,rural,Kampong Cham,0.4577465,0.05129459,0.34598517,0.56950784,0.40766826,0.08167619,0.22971112,0.5856254,71,0.0
79,rural,Kampong Cham,0.506536,0.068764664,0.35331878,0.6597532,0.45969504,0.09570332,0.24645475,0.6729353,68,25.0
80,rural,Kampong Cham,0.26593807,0.050104633,0.15676947,0.3751067,0.15482697,0.07071809,0.0007454962,0.30890843,61,0.0
81,rural,Kampong Cham,0.4325397,0.044437535,0.33473334,0.53034604,0.41468257,0.058293074,0.28638035,0.5429847,60,6.666666269302368
82,rural,Kampong Cham,0.44179896,0.044649165,0.3453403,0.5382576,0.39770725,0.06506294,0.2571473,0.5382672,63,0.0
83,rural,Kampong Cham,0.33101854,0.016690396,0.29496112,0.36707592,0.30709878,0.031716228,0.23858003,0.3756175,72,0.0
84,urban,Kampong Cham,0.375,0.038338013,0.29061863,0.4593814,0.31313133,0.06641222,0.16695902,0.45930362,44,0.0
85,rural,Kampong Cham,0.24390244,0.02935297,0.17849995,0.30930495,0.1395664,0.054192774,0.018817373,0.26031542,49,16.326528787612915
86,rural,Kampong Cham,0.23760684,0.030434823,0.17129506,0.30391863,0.09059829,0.056197755,-0.0318461,0.21304269,65,0.0
87,rural,Kampong Cham,0.20467837,0.023631824,0.15266508,0.25669166,0.029239766,0.019034898,-0.012655759,0.07113529,48,20.83333134651184
88,rural,Kampong Cham,0.3121693,0.060046233,0.17837797,0.44596067,0.22883599,0.07847839,0.053975236,0.40369675,57,26.31579041481018
89,rural,Kampong Cham,0.2574074,0.022516616,0.20876323,0.3060516,0.11481482,0.046602346,0.014136572,0.21549307,60,0.0
90,rural,Kampong Cham,0.34541065,0.048251532,0.23920974,0.45161155,0.27053142,0.07539558,0.104586855,0.43647596,57,19.298243522644043
91,urban,Kampong Cham,0.2250958,0.03077322,0.1573644,0.2928272,0.05172414,0.041365683,-0.039321113,0.1427694,58,0.0
92,rural,Kampong Cham,0.39176247,0.05298844,0.2751357,0.50838923,0.30172417,0.08244411,0.12026589,0.48318243,71,18.309861421585083
