clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
1,0.004830918,0.0051570577,-0.0063102283,0.015972065,69,0.0
2,0.039855074,0.035169292,-0.038506996,0.11821714,56,17.85714030265808
3,0.17512077,0.075627714,0.0066117244,0.34362984,57,19.298243522644043
4,0.23897709,0.0796621,0.06147886,0.4164753,63,0.0
5,0.048611112,0.046937652,-0.055972494,0.15319471,56,0.0
6,0.028248588,0.021924969,-0.020603286,0.07710046,59,0.0
7,0.22746332,0.07216259,0.07156552,0.38336113,53,0.0
8,0.40067342,0.07532119,0.23795189,0.56339496,66,0.0
9,0.26451078,0.05888641,0.13729444,0.39172715,67,0.0
10,0.22141708,0.08056957,0.047357105,0.39547706,69,0.0
11,0.30658436,0.052636646,0.1907319,0.42243683,85,4.7058820724487305
12,0.21095008,0.061535444,0.07801084,0.34388933,69,0.0
13,0.11469534,0.061017174,-0.019602554,0.24899323,68,8.823531866073608
14,0.24166667,0.0695463,0.08434201,0.39899135,53,24.528300762176514
15,0.097222224,0.08012166,-0.07912436,0.2735688,64,0.0
16,0.0,,,,49,6.122446060180664
17,0.16567461,0.06064619,0.034656473,0.29669273,56,0.0
18,0.14209403,0.09184511,-0.06254962,0.34673768,52,0.0
19,0.086167805,0.057972245,-0.043002404,0.215338,54,9.259259700775146
20,0.24737947,0.07408316,0.08432353,0.41043538,53,0.0
21,0.49292934,0.07552439,0.32670128,0.6591574,55,0.0
22,0.09856631,0.05934078,-0.029631646,0.22676426,62,0.0
23,0.346516,0.07564959,0.1800124,0.5130196,63,6.34920597076416
24,0.24842769,0.07440811,0.08630635,0.410549,53,0.0
25,0.15575399,0.09604222,-0.058241427,0.3697494,56,0.0
26,0.3293651,0.083300754,0.14375944,0.5149707,65,13.846153020858765
27,0.3480903,0.08069559,0.1704805,0.5257001,64,0.0
28,0.071428575,0.04298005,-0.024336942,0.16719408,56,0.0
29,0.0,,,,78,0.0
30,0.17063493,0.06897883,0.016940515,0.32432935,42,0.0
31,0.081818186,0.047191355,-0.023330709,0.18696707,55,0.0
32,0.16222222,0.0568527,0.03554652,0.28889793,50,0.0
33,0.31444445,0.084296614,0.12890887,0.49998006,50,0.0
34,0.33074936,0.09824992,0.10849262,0.5530061,50,13.999998569488525
35,0.027777778,0.028244127,-0.034387127,0.089942686,64,12.5
36,0.13067295,0.091400415,-0.06678564,0.32813153,71,0.0
37,0.11261262,0.072525404,-0.051451247,0.27667648,37,0.0
38,0.305153,0.09413247,0.0954128,0.51489323,73,5.47945499420166
39,0.11431624,0.061087202,-0.020135785,0.24876827,62,16.129034757614136
40,0.078431375,0.046753164,-0.022572692,0.17943545,68,0.0
41,0.0,,,,42,16.66666865348816
42,0.0,,,,58,5.17241358757019
43,0.08401084,0.048018847,-0.022981815,0.1910035,41,0.0
44,0.027350428,0.028209386,-0.034738015,0.08943887,65,0.0
45,0.19965278,0.082090534,0.013951095,0.38535446,69,7.24637508392334
46,0.09318997,0.06246276,-0.04428963,0.23066957,66,6.060606241226196
47,0.10623782,0.057498194,-0.019039989,0.23151562,57,0.0
48,0.21934868,0.09149173,0.020005327,0.41869202,58,0.0
49,0.20987655,0.06909049,0.05780941,0.3619437,72,12.5
50,0.05479452,0.05193873,-0.05741229,0.16700134,73,0.0
51,0.43624774,0.0619594,0.3023926,0.5701029,61,0.0
52,0.3015873,0.08862689,0.106520854,0.4966538,70,0.0
53,0.25128207,0.07825654,0.08221909,0.42034504,65,0.0
54,0.04613936,0.044633273,-0.052097812,0.14437653,59,0.0
55,0.27008548,0.05551941,0.14911908,0.39105186,65,0.0
56,0.18369175,0.061306395,0.050116606,0.3172669,62,0.0
57,0.20648149,0.06452143,0.06709141,0.34587157,60,0.0
58,0.24269007,0.08817817,0.050566345,0.4348138,57,0.0
59,0.20498085,0.060965527,0.072148375,0.33781332,58,0.0
60,0.42970523,0.07263851,0.27143952,0.587971,49,0.0
61,0.29480287,0.07421536,0.13310151,0.45650426,62,0.0
62,0.21743296,0.05551594,0.09524319,0.33962274,65,10.769230127334595
63,0.04761905,0.035788342,-0.029696964,0.12493506,70,0.0
64,0.34188035,0.08383032,0.15509477,0.52866596,39,0.0
65,0.17933725,0.085299544,-0.0065144952,0.365189,57,0.0
66,0.16944444,0.058431227,0.043211456,0.29567742,60,0.0
67,0.13168725,0.08116859,-0.049167637,0.31254214,58,6.896549463272095
68,0.4855556,0.06155994,0.34839147,0.6227197,50,0.0
69,0.0,,,,41,4.878050088882446
70,0.0,,,,56,17.85714030265808
71,0.0,,,,60,11.666667461395264
72,0.0,,,,65,0.0
73,0.3929739,0.11160067,0.14981692,0.63613087,73,6.849312782287598
74,0.074074075,0.049494047,-0.03620553,0.18435368,60,10.000002384185791
75,0.22718255,0.06740401,0.078827314,0.37553778,59,5.084747076034546
76,0.15579711,0.05446603,0.03712582,0.2744684,50,7.999998331069946
77,0.18390805,0.058362998,0.05782246,0.30999362,58,0.0
78,0.40766826,0.08167619,0.22971112,0.5856254,71,0.0
79,0.45969504,0.09570332,0.24645475,0.6729353,68,25.0
80,0.15482697,0.07071809,0.0007454962,0.30890843,61,0.0
81,0.41468257,0.058293074,0.28638035,0.5429847,60,6.666666269302368
82,0.39770725,0.06506294,0.2571473,0.5382672,63,0.0
83,0.30709878,0.031716228,0.23858003,0.3756175,72,0.0
84,0.31313133,0.06641222,0.16695902,0.45930362,44,0.0
85,0.1395664,0.054192774,0.018817373,0.26031542,49,16.326528787612915
86,0.09059829,0.056197755,-0.0318461,0.21304269,65,0.0
87,0.029239766,0.019034898,-0.012655759,0.07113529,48,20.83333134651184
88,0.22883599,0.07847839,0.053975236,0.40369675,57,26.31579041481018
89,0.11481482,0.046602346,0.014136572,0.21549307,60,0.0
90,0.27053142,0.07539558,0.104586855,0.43647596,57,19.298243522644043
91,0.05172414,0.041365683,-0.039321113,0.1427694,58,0.0
92,0.30172417,0.08244411,0.12026589,0.48318243,71,18.309861421585083
93,0.5449347,0.07892922,0.37296268,0.7169067,74,8.10810923576355
94,0.20222224,0.094076306,-0.0073928284,0.4118373,53,5.660378932952881
95,0.019607844,0.020817239,-0.028396795,0.067612484,62,17.741936445236206
96,0.33499172,0.07996103,0.16224642,0.50773704,67,0.0
97,0.34380037,0.09792998,0.1322355,0.5553652,69,0.0
98,0.3240741,0.08549271,0.13590592,0.51224226,66,0.0
99,0.41616166,0.10290232,0.18967517,0.64264816,55,0.0
100,0.2883598,0.07778101,0.11888953,0.45783004,67,5.9701502323150635
101,0.04012346,0.032478034,-0.03224211,0.11248903,60,10.000002384185791
102,0.23952644,0.086810686,0.048457395,0.43059546,61,0.0
103,0.10449736,0.068681456,-0.053882368,0.26287708,44,4.545456171035767
104,0.16493057,0.06689303,0.01588359,0.31397754,64,0.0
105,0.091880344,0.04917927,-0.016362501,0.20012319,52,0.0
106,0.0,,,,51,0.0
107,0.085185185,0.05277126,-0.032396507,0.20276688,60,0.0
108,0.12174941,0.060556676,-0.013179272,0.2566781,47,0.0
109,0.02020202,0.02076832,-0.025508745,0.06591278,66,0.0
110,0.4512938,0.057477955,0.3271202,0.57546735,73,0.0
111,0.25925928,0.062997535,0.12316137,0.39535716,57,0.0
112,0.13218391,0.056593105,0.008878127,0.2554897,58,0.0
113,0.22891568,0.06320182,0.09237643,0.3654549,83,0.0
114,0.16091955,0.06944578,0.010891048,0.31094804,58,0.0
115,0.25086805,0.06547813,0.10941115,0.39232495,64,0.0
116,0.16578485,0.077237755,-0.0010771846,0.33264688,63,0.0
117,0.47442684,0.038771015,0.39066714,0.55818653,63,0.0
118,0.25268817,0.06637052,0.10930339,0.39607295,62,0.0
119,0.4027778,0.08185608,0.2259385,0.57961714,60,0.0
120,0.2994792,0.061548173,0.16651243,0.4324459,64,0.0
121,0.17310789,0.06900445,0.024032837,0.32218295,69,0.0
122,0.16349207,0.071386576,0.009270752,0.31771338,70,0.0
123,0.17301588,0.080068596,-0.0014386068,0.34747037,70,0.0
124,0.33796299,0.05738,0.21400103,0.4619249,72,0.0
125,0.37931037,0.069251515,0.22970155,0.52891916,58,0.0
126,0.25706217,0.0838641,0.07433798,0.43978634,59,0.0
127,0.12794614,0.06327566,-0.0087526115,0.2646449,66,0.0
128,0.3764511,0.07829617,0.20730251,0.5455997,67,0.0
129,0.3596987,0.090881184,0.16336185,0.5560356,59,0.0
130,0.25456053,0.06256286,0.119401686,0.3897194,67,0.0
131,0.18482907,0.066189244,0.040615086,0.32904306,52,0.0
132,0.20321637,0.069115184,0.053902093,0.35253066,76,0.0
133,0.1261574,0.059122484,-0.0055756913,0.25789052,57,15.789473056793213
134,0.25079367,0.11654652,-0.0031393773,0.5047267,74,5.405408143997192
135,0.2448211,0.072990105,0.08578932,0.40385288,59,0.0
136,0.0,,,,64,0.0
137,0.20967743,0.07415589,0.04646141,0.37289345,62,0.0
138,0.0,,,,79,3.7974655628204346
139,0.10564663,0.06388024,-0.03886052,0.25015378,61,0.0
140,0.0,,,,57,0.0
141,0.050925925,0.037988394,-0.033717494,0.13556935,48,0.0
142,0.2880342,0.07211386,0.1322417,0.4438267,65,0.0
143,0.2232143,0.07267874,0.064860925,0.38156766,56,0.0
144,0.05147059,0.050273042,-0.05806496,0.16100614,68,0.0
