clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
1,urban,Banteay Meanchay,0.43055558,0.07759084,0.25163078,0.6094804,0.41071433,0.08914204,0.2051524,0.6162762,56,0.0
2,urban,Banteay Meanchay,0.31796694,0.0936414,0.10202947,0.5339044,0.22340427,0.11689193,-0.046148993,0.49295753,47,0.0
3,urban,Banteay Meanchay,0.18439716,0.03921927,0.09165833,0.277136,0.06382979,0.059081525,-0.07587582,0.2035354,52,9.61538553237915
4,urban,Banteay Meanchay,0.24444444,0.031929277,0.17081541,0.3180735,0.05925926,0.044812094,-0.044077616,0.16259614,45,0.0
5,urban,Banteay Meanchay,0.44082132,0.11867981,0.16714518,0.71449745,0.37439618,0.14205565,0.046815276,0.7019771,46,0.0
6,urban,Banteay Meanchay,0.4030303,0.048335496,0.28873503,0.5173256,0.33939394,0.08559731,0.13698848,0.5417994,55,0.0
7,rural,Banteay Meanchay,0.45454547,0.04499783,0.3555059,0.55358505,0.42279944,0.071595356,0.26521912,0.5803797,77,0.0
8,rural,Banteay Meanchay,0.44547328,0.11097118,0.18957326,0.7013733,0.39300415,0.13426563,0.083387025,0.7026213,54,0.0
9,rural,Banteay Meanchay,0.27564102,0.035229273,0.19594689,0.35533518,0.15277778,0.06671056,0.0018680088,0.30368754,56,7.142859697341919
10,rural,Banteay Meanchay,0.36961454,0.053161364,0.24702421,0.49220484,0.27437642,0.09100158,0.06452642,0.48422644,49,0.0
11,rural,Banteay Meanchay,0.4335155,0.051413454,0.32035527,0.54667574,0.36247724,0.07924892,0.18805155,0.53690296,69,11.594200134277344
12,rural,Banteay Meanchay,0.52424246,0.06862203,0.3732064,0.67527854,0.4565657,0.09401488,0.24964036,0.6634911,60,8.33333134651184
13,rural,Banteay Meanchay,0.5062598,0.06886125,0.35749415,0.65502554,0.44600943,0.0938415,0.24327719,0.64874166,71,0.0
14,rural,Banteay Meanchay,0.61111116,0.06257219,0.47593218,0.7462902,0.6002887,0.06596674,0.4577762,0.74280113,77,0.0
15,rural,Banteay Meanchay,0.6583334,0.028551098,0.5961259,0.7205409,0.6583334,0.028551098,0.5961259,0.7205409,80,0.0
16,rural,Banteay Meanchay,0.47603488,0.057789393,0.3453062,0.6067636,0.42701527,0.084665745,0.23548806,0.6185425,64,20.3125
17,rural,Banteay Meanchay,0.48511907,0.060998797,0.3492053,0.6210329,0.42063496,0.090072356,0.21994124,0.62132865,59,5.084747076034546
18,rural,Banteay Meanchay,0.5915033,0.052969143,0.46935624,0.7136504,0.5915033,0.052969143,0.46935624,0.7136504,63,19.04761791229248
19,rural,Banteay Meanchay,0.63683134,0.04616197,0.53240573,0.74125695,0.63683134,0.04616197,0.53240573,0.74125695,59,8.474576473236084
20,rural,Banteay Meanchay,0.5652778,0.030673223,0.4969336,0.633622,0.5652778,0.030673223,0.4969336,0.633622,40,0.0
21,rural,Banteay Meanchay,0.4160494,0.040178783,0.32652548,0.5055733,0.3580247,0.06934452,0.20351548,0.5125339,45,0.0
22,rural,Banteay Meanchay,0.5798123,0.04323807,0.4856046,0.67401993,0.5680752,0.048935685,0.46145347,0.67469686,71,0.0
23,rural,Banteay Meanchay,0.43827164,0.06344794,0.2969008,0.5796425,0.32962966,0.11078202,0.08279193,0.5764674,45,0.0
24,rural,Banteay Meanchay,0.433642,0.05735427,0.3086778,0.5586062,0.33410496,0.08983055,0.13838102,0.5298289,72,0.0
25,rural,Banteay Meanchay,0.67129636,0.04272431,0.5772608,0.765332,0.67129636,0.04272431,0.5772608,0.765332,60,0.0
26,rural,Banteay Meanchay,0.55076635,0.04625007,0.44999608,0.6515366,0.52681994,0.06269334,0.3902229,0.66341704,64,9.375
27,rural,Banteay Meanchay,0.46949893,0.054254115,0.34861323,0.59038466,0.42156866,0.07883546,0.24591231,0.597225,51,0.0
28,rural,Banteay Meanchay,0.42184561,0.081809364,0.23677996,0.60691124,0.37099814,0.10104656,0.14241494,0.59958136,59,0.0
29,urban,Kampong Cham,0.12794614,0.0542429,-0.011489684,0.26738194,0.0,,,,33,0.0
30,rural,Kampong Cham,0.3814815,0.04389466,0.28487,0.478093,0.32037038,0.06864752,0.16927822,0.47146255,60,0.0
31,rural,Kampong Cham,0.5915033,0.07315987,0.43047956,0.7525271,0.5697169,0.087307446,0.37755445,0.76187927,51,0.0
32,rural,Kampong Cham,0.59629637,0.0819791,0.41363552,0.7789572,0.5546297,0.10124516,0.32904142,0.78021795,60,0.0
33,rural,Kampong Cham,0.460452,0.050643183,0.35011,0.57079405,0.40866292,0.07634559,0.24232018,0.57500565,67,11.940300464630127
34,rural,Kampong Cham,0.6367522,0.035759132,0.5600565,0.7134479,0.6367522,0.035759132,0.5600565,0.7134479,104,0.0
35,rural,Kampong Cham,0.41444448,0.08343661,0.22853613,0.6003528,0.35000002,0.10677446,0.11209173,0.5879083,50,0.0
36,rural,Kampong Cham,0.37068966,0.05611945,0.24564774,0.4957316,0.28352493,0.08565538,0.09267285,0.47437698,58,0.0
37,rural,Kampong Cham,0.39015153,0.059155926,0.25834394,0.5219591,0.30429295,0.08805913,0.10808498,0.5005009,44,0.0
38,rural,Kampong Cham,0.3957115,0.045533054,0.2965035,0.4949195,0.3060429,0.08099909,0.12956104,0.48252475,61,6.557375192642212
39,rural,Kampong Cham,0.46322381,0.052540347,0.34874824,0.5776994,0.42253524,0.070123196,0.26974994,0.57532054,75,5.33333420753479
40,rural,Kampong Cham,0.31196582,0.04957486,0.2028523,0.42107937,0.19145301,0.07321129,0.03031605,0.35258996,68,4.411762952804565
41,rural,Kampong Cham,0.7271728,0.039309263,0.64286286,0.8114828,0.7271728,0.039309263,0.64286286,0.8114828,101,0.0
42,rural,Kampong Cham,0.5,0.040344443,0.410107,0.58989304,0.48765433,0.050376885,0.37540764,0.599901,61,11.47540807723999
43,rural,Kampong Cham,0.41614258,0.039002415,0.33029884,0.5019863,0.39413,0.04891662,0.28646523,0.50179476,53,0.0
44,rural,Kampong Cham,0.6008231,0.05820928,0.47112474,0.73052144,0.580247,0.07032603,0.4235508,0.7369431,54,0.0
45,rural,Kampong Cham,0.3482385,0.04169779,0.2520832,0.44439375,0.26422766,0.0802078,0.07926812,0.44918716,41,0.0
46,rural,Kampong Cham,0.63138145,0.039523184,0.5459968,0.7167661,0.63138145,0.039523184,0.5459968,0.7167661,81,8.641976118087769
47,rural,Kampong Cham,0.41165757,0.03628679,0.33259547,0.4907197,0.39344263,0.047323253,0.29033414,0.49655116,61,0.0
48,rural,Kampong Cham,0.47892722,0.04364979,0.3846276,0.57322687,0.46743298,0.05066248,0.35798335,0.5768826,63,7.9365074634552
49,rural,Kampong Cham,0.42063496,0.05218463,0.30693442,0.5343355,0.35034016,0.078067765,0.1802451,0.5204352,49,0.0
50,rural,Kampong Cham,0.67473125,0.047360368,0.5704918,0.7789707,0.67473125,0.047360368,0.5704918,0.7789707,62,0.0
51,rural,Kampong Cham,0.42914656,0.061100904,0.29300526,0.5652879,0.37439618,0.08345151,0.18845463,0.5603377,69,0.0
52,rural,Kampong Cham,0.5401235,0.061338924,0.40511745,0.6751296,0.5154321,0.078799285,0.34199607,0.6888682,54,0.0
53,rural,Kampong Cham,0.50592595,0.055199612,0.38667446,0.6251775,0.46370375,0.072186805,0.30775362,0.6196539,75,0.0
54,rural,Kampong Cham,0.5939154,0.043776367,0.49934232,0.6884885,0.5806879,0.05266784,0.46690595,0.69446987,84,0.0
55,rural,Kampong Cham,0.64814824,0.04357504,0.5522402,0.7440562,0.64814824,0.04357504,0.5522402,0.7440562,54,0.0
56,urban,Kampong Chhnang,0.48611116,0.05418294,0.37124845,0.60097384,0.45092598,0.06798237,0.30680978,0.59504217,120,0.0
57,urban,Kampong Chhnang,0.33045977,0.03962377,0.2390872,0.42183235,0.24329503,0.07770123,0.06411565,0.42247438,58,0.0
58,urban,Kampong Chhnang,0.21282052,0.031069107,0.14359424,0.2820468,0.06837607,0.041907985,-0.025000738,0.16175288,65,0.0
59,rural,Kampong Chhnang,0.58126044,0.083141096,0.3982681,0.7642527,0.52736324,0.10480878,0.29668066,0.7580458,67,0.0
60,rural,Kampong Chhnang,0.6206897,0.046758648,0.51650494,0.7248745,0.6206897,0.046758648,0.51650494,0.7248745,58,0.0
61,rural,Kampong Chhnang,0.45913157,0.043953866,0.36595353,0.55230963,0.42337167,0.05718467,0.3021456,0.54459774,87,0.0
62,rural,Kampong Chhnang,0.5187794,0.07035576,0.36548737,0.6720714,0.48826295,0.08627268,0.30029094,0.67623496,78,8.974361419677734
63,rural,Kampong Chhnang,0.73856217,0.056705795,0.6169403,0.860184,0.73856217,0.056705795,0.6169403,0.860184,92,7.608693838119507
64,rural,Kampong Chhnang,0.63748604,0.063999735,0.5018127,0.77315944,0.6054995,0.080634184,0.43456268,0.7764363,99,0.0
65,rural,Kampong Chhnang,0.58680564,0.04471825,0.4908945,0.6827167,0.58680564,0.04471825,0.4908945,0.6827167,80,0.0
66,rural,Kampong Chhnang,0.51891255,0.037658956,0.43907914,0.598746,0.5011821,0.048046276,0.3993285,0.6030356,94,0.0
67,rural,Kampong Chhnang,0.5322062,0.05102531,0.42103156,0.64338076,0.5161031,0.05819429,0.38930863,0.64289755,73,5.47945499420166
68,rural,Kampong Chhnang,0.5779221,0.030768124,0.51193106,0.6439132,0.5779221,0.030768124,0.51193106,0.6439132,77,0.0
