clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
541,0.09967321,0.055486646,-0.017393377,0.2167398
542,0.103249475,0.04915284,-0.00094989146,0.20744884
543,0.11454047,0.050400313,0.0082051065,0.22087584
544,0.20619659,0.05954262,0.08057265,0.33182055
545,0.12619048,0.07201799,-0.029394927,0.2817759
546,0.06715507,0.043453883,-0.024524614,0.15883476
547,0.035460994,0.025252692,-0.017817529,0.088739514
548,0.093474425,0.04518879,-0.0034458812,0.19039474
549,0.4103079,0.04709813,0.31046435,0.5101515
550,0.2777778,0.06798438,0.1343433,0.4212123
551,0.3500882,0.091174856,0.1545376,0.54563886
552,0.2006173,0.06192156,0.06934945,0.33188513
553,0.3707483,0.040230963,0.28546247,0.45603415
554,0.3544686,0.05399908,0.24054052,0.46839672
555,0.3065844,0.059121184,0.18057056,0.4325982
556,0.080000006,0.035449147,0.0052088355,0.15479118
557,0.28055558,0.061338123,0.15114345,0.4099677
558,0.39794686,0.04721938,0.29784626,0.4980475
559,0.34477127,0.063566595,0.21065746,0.47888505
560,0.19850948,0.052673053,0.08684761,0.31017137
561,0.31200898,0.059604287,0.18565355,0.43836442
562,0.0,,,
563,0.087201126,0.05441094,-0.028773045,0.20317529
564,0.0,,,
565,0.0,,,
566,0.25027505,0.055349387,0.13349803,0.36705205
567,0.29403794,0.070249125,0.14430548,0.4437704
568,0.38055557,0.07139374,0.22992794,0.5311832
569,0.27144867,0.043586418,0.1790496,0.36384773
570,0.46423137,0.061146714,0.33390024,0.59456253
571,0.44444448,0.064337835,0.3087035,0.5801855
572,0.0,,,
