clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
539,0.014675053,0.01543363,-0.019294137,0.04864424,53,0.0
540,0.25,0.07684083,0.08257821,0.41742182,61,4.918032884597778
541,0.44545457,0.044731595,0.347001,0.5439081,55,0.0
542,0.23129253,0.069793545,0.07922546,0.38335958,49,0.0
543,0.18306011,0.06273359,0.047532428,0.3185878,61,0.0
544,0.028248588,0.027895246,-0.032015424,0.0885126,59,0.0
545,0.19982079,0.065580755,0.056932595,0.342709,62,0.0
546,0.26684883,0.07521272,0.102974385,0.43072325,66,7.575756311416626
547,0.27380955,0.098237135,0.057591073,0.49002802,59,5.084747076034546
548,0.22051284,0.08172309,0.04245352,0.39857215,74,12.162160873413086
549,0.17881945,0.055906683,0.0580404,0.2995985,64,0.0
550,0.24958542,0.07072115,0.09392922,0.4052416,74,9.459459781646729
551,0.57277,0.04460004,0.47641748,0.6691225,71,0.0
552,0.19444445,0.07223041,0.037067898,0.351821,62,0.0
553,0.21548823,0.0804468,0.041693475,0.38928297,66,0.0
554,0.19607843,0.07484012,0.031356446,0.36080042,56,8.92857313156128
555,0.32426304,0.06883664,0.17555054,0.47297555,49,0.0
556,0.3851852,0.083858244,0.20247379,0.56789666,75,0.0
557,0.3877996,0.05490528,0.26918393,0.50641525,51,0.0
558,0.28352493,0.088670954,0.08836146,0.4786884,63,7.9365074634552
559,0.13479052,0.05399986,0.017134942,0.25244612,61,0.0
560,0.33226496,0.05813035,0.20432092,0.460209,59,11.864405870437622
561,0.12739465,0.06300188,-0.008712636,0.2635019,58,0.0
562,0.067251466,0.049143337,-0.040912293,0.17541522,67,14.92537260055542
563,0.2777778,0.069561526,0.120418675,0.43513688,71,28.16901206970215
564,0.0,,,,60,10.000002384185791
565,0.1851852,0.07239178,0.023886247,0.34648412,57,0.0
566,0.0,,,,43,0.0
567,0.0,,,,71,0.0
568,0.25496033,0.07498027,0.09297531,0.41694534,56,0.0
569,0.0734127,0.05414127,-0.044550996,0.19137639,59,5.084747076034546
570,0.22727273,0.06866535,0.078930266,0.37561518,66,0.0
571,0.25555557,0.07478468,0.09399308,0.41711804,55,0.0
572,0.42622954,0.068915844,0.27454677,0.5779123,61,0.0
573,0.2589454,0.092257954,0.059634216,0.4582566,59,0.0
574,0.17577414,0.06415693,0.03717153,0.31437674,61,0.0
575,0.13975695,0.061537992,0.0056771785,0.2738367,64,0.0
576,0.18703704,0.05577799,0.06550724,0.30856684,63,4.76190447807312
577,0.21497585,0.08130546,0.037826482,0.39212522,46,0.0
578,0.15091212,0.07697878,-0.018517036,0.3203413,67,0.0
579,0.43464056,0.088146664,0.24421127,0.62506986,68,0.0
580,0.03233831,0.026827531,-0.026708687,0.091385305,67,0.0
581,0.28169015,0.08329461,0.10020679,0.46317354,71,0.0
582,0.51068383,0.07504432,0.34856042,0.6728072,78,0.0
583,0.37222224,0.07791323,0.20390095,0.54054356,60,0.0
584,0.34153005,0.06598198,0.19776769,0.48529243,61,0.0
585,0.3852657,0.054628752,0.26354527,0.50698614,46,0.0
586,0.15656567,0.055969216,0.03461921,0.27851212,66,0.0
587,0.21026723,0.06416713,0.071642585,0.34889188,79,0.0
588,0.35867447,0.044327065,0.26111126,0.45623767,57,0.0
589,0.24646465,0.07688747,0.077236466,0.41569284,55,0.0
590,0.4017094,0.070875704,0.24571304,0.5577058,65,0.0
591,0.1641791,0.058606114,0.036487356,0.29187086,67,0.0
592,0.38063064,0.070301004,0.22875457,0.53250676,74,0.0
593,0.13666667,0.0667137,-0.011980715,0.28531405,50,0.0
594,0.042253524,0.03063922,-0.025182948,0.109689996,71,0.0
595,0.08829365,0.046276927,-0.01356118,0.19014849,56,0.0
596,0.032956686,0.033301312,-0.040339008,0.10625238,59,0.0
597,0.09139785,0.04802131,-0.014296334,0.19709204,62,0.0
598,0.046153847,0.04410834,-0.05212565,0.14443335,69,5.797100067138672
599,0.23368607,0.08894617,0.037916873,0.42945528,63,0.0
600,0.33436215,0.068904914,0.1784884,0.4902359,54,0.0
601,0.5546297,0.043899316,0.4568159,0.65244347,60,0.0
602,0.092995174,0.06006828,-0.04288872,0.22887906,46,0.0
603,0.0,,,,37,0.0
604,0.24949495,0.09240987,0.043592934,0.45539698,55,0.0
605,0.094444446,0.04927173,-0.012000653,0.20088954,70,0.0
606,0.117370896,0.054284442,-0.0021083541,0.23685014,71,0.0
607,0.45138893,0.06686115,0.3069442,0.59583366,64,0.0
608,0.2238806,0.07504002,0.058718625,0.3890426,75,10.66666841506958
609,0.028368795,0.028460296,-0.034271892,0.09100948,47,0.0
610,0.13541667,0.06429865,-0.004678067,0.2755114,64,0.0
611,0.024509804,0.024726577,-0.028908717,0.07792833,68,0.0
